Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;BubbleSort;100;0.000062600;1
C++;BubbleSort;100;0.000064400;2
C++;BubbleSort;100;0.000062900;3
C++;BubbleSort;100;0.000069300;4
C++;BubbleSort;100;0.000068600;5
C++;BubbleSort;100;0.000070600;6
C++;BubbleSort;100;0.000066300;7
C++;BubbleSort;100;0.000065100;8
C++;BubbleSort;100;0.000062200;9
C++;BubbleSort;100;0.000077100;10
C++;BubbleSort;100;0.000062200;11
C++;BubbleSort;100;0.000066300;12
C++;BubbleSort;100;0.000106600;13
C++;BubbleSort;100;0.000079000;14
C++;BubbleSort;100;0.000066400;15
C++;BubbleSort;100;0.000068400;16
C++;BubbleSort;100;0.000064500;17
C++;BubbleSort;100;0.000065500;18
C++;BubbleSort;100;0.000058300;19
C++;BubbleSort;100;0.000062500;20
C++;BubbleSort;100;0.000066000;21
C++;BubbleSort;100;0.000062400;22
C++;BubbleSort;100;0.000062900;23
C++;BubbleSort;100;0.000063800;24
C++;BubbleSort;100;0.000063800;25
C++;BubbleSort;100;0.000063900;26
C++;BubbleSort;100;0.000063100;27
C++;BubbleSort;100;0.000091500;28
C++;BubbleSort;100;0.000063500;29
C++;BubbleSort;100;0.000065800;30
C++;BubbleSort;100;0.000064500;31
C++;BubbleSort;100;0.000078600;32
C++;BubbleSort;100;0.000068500;33
C++;BubbleSort;100;0.000063400;34
C++;BubbleSort;100;0.000060600;35
C++;BubbleSort;100;0.000063500;36
C++;BubbleSort;100;0.000077200;37
C++;BubbleSort;100;0.000097000;38
C++;BubbleSort;100;0.000066200;39
C++;BubbleSort;100;0.000106200;40
C++;BubbleSort;100;0.000114500;41
C++;BubbleSort;100;0.000099400;42
C++;BubbleSort;100;0.000087700;43
C++;BubbleSort;100;0.000084600;44
C++;BubbleSort;100;0.000107000;45
C++;BubbleSort;100;0.000066100;46
C++;BubbleSort;100;0.000093500;47
C++;BubbleSort;100;0.000064600;48
C++;BubbleSort;100;0.000084300;49
C++;BubbleSort;100;0.000101000;50
C++;BubbleSort;100;0.000089100;51
C++;BubbleSort;100;0.000063500;52
C++;BubbleSort;100;0.000068200;53
C++;BubbleSort;100;0.000074800;54
C++;BubbleSort;100;0.000065300;55
C++;BubbleSort;100;0.000069300;56
C++;BubbleSort;100;0.000092500;57
C++;BubbleSort;100;0.000093600;58
C++;BubbleSort;100;0.000075200;59
C++;BubbleSort;100;0.000098600;60
C++;BubbleSort;100;0.000103700;61
C++;BubbleSort;100;0.000088500;62
C++;BubbleSort;100;0.000074200;63
C++;BubbleSort;100;0.000096000;64
C++;BubbleSort;100;0.000073900;65
C++;BubbleSort;100;0.000108100;66
C++;BubbleSort;100;0.000075000;67
C++;BubbleSort;100;0.000064500;68
C++;BubbleSort;100;0.000078500;69
C++;BubbleSort;100;0.000082700;70
C++;BubbleSort;100;0.000145600;71
C++;BubbleSort;100;0.000096000;72
C++;BubbleSort;100;0.000059000;73
C++;BubbleSort;100;0.000063600;74
C++;BubbleSort;100;0.000065300;75
C++;BubbleSort;100;0.000074200;76
C++;BubbleSort;100;0.000137700;77
C++;BubbleSort;100;0.000086800;78
C++;BubbleSort;100;0.000119000;79
C++;BubbleSort;100;0.000071200;80
C++;BubbleSort;100;0.000114500;81
C++;BubbleSort;100;0.000066400;82
C++;BubbleSort;100;0.000066300;83
C++;BubbleSort;100;0.000082400;84
