Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;HeapSort;100;0.000020800;1
C++;HeapSort;100;0.000020900;2
C++;HeapSort;100;0.000020600;3
C++;HeapSort;100;0.000043000;4
C++;HeapSort;100;0.000020600;5
C++;HeapSort;100;0.000021300;6
C++;HeapSort;100;0.000021700;7
C++;HeapSort;100;0.000021700;8
C++;HeapSort;100;0.000020900;9
C++;HeapSort;100;0.000021500;10
C++;HeapSort;100;0.000020700;11
C++;HeapSort;100;0.000021500;12
C++;HeapSort;100;0.000021000;13
C++;HeapSort;100;0.000020400;14
C++;HeapSort;100;0.000032500;15
C++;HeapSort;100;0.000021700;16
C++;HeapSort;100;0.000021300;17
C++;HeapSort;100;0.000020100;18
C++;HeapSort;100;0.000030800;19
C++;HeapSort;100;0.000021600;20
C++;HeapSort;100;0.000020900;21
C++;HeapSort;100;0.000021100;22
C++;HeapSort;100;0.000020800;23
C++;HeapSort;100;0.000020900;24
C++;HeapSort;100;0.000021400;25
C++;HeapSort;100;0.000020300;26
C++;HeapSort;100;0.000020400;27
C++;HeapSort;100;0.000022500;28
C++;HeapSort;100;0.000020300;29
C++;HeapSort;100;0.000020800;30
C++;HeapSort;100;0.000021100;31
C++;HeapSort;100;0.000020900;32
C++;HeapSort;100;0.000020300;33
C++;HeapSort;100;0.000027400;34
C++;HeapSort;100;0.000023000;35
C++;HeapSort;100;0.000020700;36
C++;HeapSort;100;0.000026200;37
C++;HeapSort;100;0.000020800;38
C++;HeapSort;100;0.000021600;39
C++;HeapSort;100;0.000020800;40
C++;HeapSort;100;0.000028300;41
C++;HeapSort;100;0.000020300;42
C++;HeapSort;100;0.000020400;43
C++;HeapSort;100;0.000020100;44
C++;HeapSort;100;0.000021400;45
C++;HeapSort;100;0.000021100;46
C++;HeapSort;100;0.000020800;47
C++;HeapSort;100;0.000021700;48
C++;HeapSort;100;0.000020500;49
C++;HeapSort;100;0.000021600;50
C++;HeapSort;100;0.000021200;51
C++;HeapSort;100;0.000021000;52
C++;HeapSort;100;0.000020500;53
C++;HeapSort;100;0.000058400;54
C++;HeapSort;100;0.000023100;55
C++;HeapSort;100;0.000020100;56
C++;HeapSort;100;0.000021100;57
C++;HeapSort;100;0.000022700;58
C++;HeapSort;100;0.000020600;59
C++;HeapSort;100;0.000021000;60
C++;HeapSort;100;0.000022000;61
C++;HeapSort;100;0.000020600;62
C++;HeapSort;100;0.000021500;63
C++;HeapSort;100;0.000043200;64
C++;HeapSort;100;0.000021000;65
C++;HeapSort;100;0.000020600;66
C++;HeapSort;100;0.000021700;67
C++;HeapSort;100;0.000020400;68
C++;HeapSort;100;0.000021700;69
C++;HeapSort;100;0.000023500;70
C++;HeapSort;100;0.000020400;71
C++;HeapSort;100;0.000020600;72
C++;HeapSort;100;0.000021900;73
C++;HeapSort;100;0.000021100;74
C++;HeapSort;100;0.000021000;75
C++;HeapSort;100;0.000021000;76
C++;HeapSort;100;0.000022300;77
C++;HeapSort;100;0.000020700;78
C++;HeapSort;100;0.000021200;79
C++;HeapSort;100;0.000021400;80
C++;HeapSort;100;0.000020100;81
C++;HeapSort;100;0.000021200;82
C++;HeapSort;100;0.000020700;83
C++;HeapSort;100;0.000021100;84
C++;HeapSort;100;0.000026700;85
C++;HeapSort;100;0.000020600;86
C++;HeapSort;100;0.000020500;87
C++;HeapSort;100;0.000042600;88
C++;HeapSort;100;0.000020800;89
C++;HeapSort;100;0.000020900;90
C++;HeapSort;100;0.000021000;91
C++;HeapSort;100;0.000020700;92
C++;HeapSort;100;0.000021300;93
C++;HeapSort;100;0.000021500;94
C++;HeapSort;100;0.000020500;95
C++;HeapSort;100;0.000020300;96
C++;HeapSort;100;0.000021600;97
C++;HeapSort;100;0.000021500;98
C++;HeapSort;100;0.000019800;99
C++;HeapSort;100;0.000020400;100
C++;HeapSort;1000;0.000292800;1
C++;HeapSort;1000;0.000308500;2
C++;HeapSort;1000;0.000380500;3
C++;HeapSort;1000;0.000295400;4
C++;HeapSort;1000;0.000290900;5
C++;HeapSort;1000;0.000287800;6
C++;HeapSort;1000;0.000288600;7
C++;HeapSort;1000;0.000292400;8
C++;HeapSort;1000;0.000293000;9
C++;HeapSort;1000;0.000291100;10
C++;HeapSort;1000;0.000296500;11
C++;HeapSort;1000;0.000343400;12
C++;HeapSort;1000;0.000303900;13
C++;HeapSort;1000;0.000288200;14
C++;HeapSort;1000;0.000291300;15
C++;HeapSort;1000;0.000296900;16
C++;HeapSort;1000;0.000293000;17
C++;HeapSort;1000;0.000290100;18
C++;HeapSort;1000;0.000297300;19
C++;HeapSort;1000;0.000298400;20
C++;HeapSort;1000;0.000299300;21
C++;HeapSort;1000;0.000290300;22
C++;HeapSort;1000;0.000287000;23
C++;HeapSort;1000;0.000293600;24
C++;HeapSort;1000;0.000288600;25
C++;HeapSort;1000;0.000288200;26
C++;HeapSort;1000;0.000294600;27
C++;HeapSort;1000;0.000298200;28
C++;HeapSort;1000;0.000291400;29
C++;HeapSort;1000;0.000293500;30
C++;HeapSort;1000;0.000311100;31
C++;HeapSort;1000;0.000360300;32
C++;HeapSort;1000;0.000357400;33
C++;HeapSort;1000;0.000300600;34
C++;HeapSort;1000;0.000296300;35
C++;HeapSort;1000;0.000287700;36
C++;HeapSort;1000;0.000345600;37
