Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;InsertionSort;100;0.000018000;1
C++;InsertionSort;100;0.000018300;2
C++;InsertionSort;100;0.000018500;3
C++;InsertionSort;100;0.000017200;4
C++;InsertionSort;100;0.000027900;5
C++;InsertionSort;100;0.000022300;6
C++;InsertionSort;100;0.000017800;7
C++;InsertionSort;100;0.000024600;8
C++;InsertionSort;100;0.000025000;9
C++;InsertionSort;100;0.000019300;10
C++;InsertionSort;100;0.000022500;11
C++;InsertionSort;100;0.000019000;12
C++;InsertionSort;100;0.000018700;13
C++;InsertionSort;100;0.000018400;14
C++;InsertionSort;100;0.000019800;15
C++;InsertionSort;100;0.000021000;16
C++;InsertionSort;100;0.000019200;17
C++;InsertionSort;100;0.000024700;18
C++;InsertionSort;100;0.000016500;19
C++;InsertionSort;100;0.000024100;20
C++;InsertionSort;100;0.000025900;21
C++;InsertionSort;100;0.000017800;22
C++;InsertionSort;100;0.000025600;23
C++;InsertionSort;100;0.000019900;24
C++;InsertionSort;100;0.000018600;25
C++;InsertionSort;100;0.000024400;26
C++;InsertionSort;100;0.000021900;27
C++;InsertionSort;100;0.000020300;28
C++;InsertionSort;100;0.000018100;29
C++;InsertionSort;100;0.000028500;30
C++;InsertionSort;100;0.000017900;31
C++;InsertionSort;100;0.000025600;32
C++;InsertionSort;100;0.000019600;33
C++;InsertionSort;100;0.000018200;34
C++;InsertionSort;100;0.000034100;35
C++;InsertionSort;100;0.000018500;36
C++;InsertionSort;100;0.000017400;37
C++;InsertionSort;100;0.000018700;38
C++;InsertionSort;100;0.000019200;39
C++;InsertionSort;100;0.000023400;40
C++;InsertionSort;100;0.000018500;41
C++;InsertionSort;100;0.000019400;42
C++;InsertionSort;100;0.000019700;43
C++;InsertionSort;100;0.000018800;44
C++;InsertionSort;100;0.000020200;45
C++;InsertionSort;100;0.000019800;46
C++;InsertionSort;100;0.000018300;47
C++;InsertionSort;100;0.000025000;48
C++;InsertionSort;100;0.000023900;49
C++;InsertionSort;100;0.000023800;50
C++;InsertionSort;100;0.000025200;51
C++;InsertionSort;100;0.000032600;52
C++;InsertionSort;100;0.000022800;53
C++;InsertionSort;100;0.000024900;54
C++;InsertionSort;100;0.000018800;55
C++;InsertionSort;100;0.000027000;56
C++;InsertionSort;100;0.000018800;57
C++;InsertionSort;100;0.000017700;58
C++;InsertionSort;100;0.000017800;59
C++;InsertionSort;100;0.000023600;60
C++;InsertionSort;100;0.000023300;61
C++;InsertionSort;100;0.000018000;62
C++;InsertionSort;100;0.000026400;63
C++;InsertionSort;100;0.000019400;64
C++;InsertionSort;100;0.000019100;65
C++;InsertionSort;100;0.000018500;66
C++;InsertionSort;100;0.000023900;67
C++;InsertionSort;100;0.000019400;68
C++;InsertionSort;100;0.000021500;69
C++;InsertionSort;100;0.000019200;70
C++;InsertionSort;100;0.000021300;71
C++;InsertionSort;100;0.000019000;72
C++;InsertionSort;100;0.000025900;73
C++;InsertionSort;100;0.000024400;74
C++;InsertionSort;100;0.000018900;75
C++;InsertionSort;100;0.000026100;76
C++;InsertionSort;100;0.000017100;77
C++;InsertionSort;100;0.000024000;78
C++;InsertionSort;100;0.000018900;79
C++;InsertionSort;100;0.000019200;80
C++;InsertionSort;100;0.000019400;81
C++;InsertionSort;100;0.000025300;82
C++;InsertionSort;100;0.000018200;83
C++;InsertionSort;100;0.000019800;84
C++;InsertionSort;100;0.000018400;85
C++;InsertionSort;100;0.000027000;86
C++;InsertionSort;100;0.000018900;87
C++;InsertionSort;100;0.000023400;88
C++;InsertionSort;100;0.000022200;89
C++;InsertionSort;100;0.000019400;90
C++;InsertionSort;100;0.000017900;91
C++;InsertionSort;100;0.000018000;92
C++;InsertionSort;100;0.000018300;93
C++;InsertionSort;100;0.000017300;94
C++;InsertionSort;100;0.000023900;95
C++;InsertionSort;100;0.000019300;96
C++;InsertionSort;100;0.000017200;97
C++;InsertionSort;100;0.000026100;98
C++;InsertionSort;100;0.000018600;99
C++;InsertionSort;100;0.000020100;100
C++;InsertionSort;1000;0.002130500;1
C++;InsertionSort;1000;0.002118900;2
C++;InsertionSort;1000;0.001731700;3
C++;InsertionSort;1000;0.001847100;4
C++;InsertionSort;1000;0.001967200;5
C++;InsertionSort;1000;0.001751800;6
C++;InsertionSort;1000;0.002364800;7
C++;InsertionSort;1000;0.001888000;8
C++;InsertionSort;1000;0.002122200;9
C++;InsertionSort;1000;0.002372500;10
C++;InsertionSort;1000;0.002043000;11
C++;InsertionSort;1000;0.002291000;12
C++;InsertionSort;1000;0.001945700;13
C++;InsertionSort;1000;0.001881700;14
C++;InsertionSort;1000;0.002086900;15
C++;InsertionSort;1000;0.001863100;16
C++;InsertionSort;1000;0.001729000;17
C++;InsertionSort;1000;0.001915500;18
C++;InsertionSort;1000;0.001846100;19
C++;InsertionSort;1000;0.001947400;20
C++;InsertionSort;1000;0.002191200;21
C++;InsertionSort;1000;0.002116900;22
C++;InsertionSort;1000;0.002094100;23
C++;InsertionSort;1000;0.001736200;24
C++;InsertionSort;1000;0.001824000;25
C++;InsertionSort;1000;0.001624600;26
C++;InsertionSort;1000;0.001852200;27
C++;InsertionSort;1000;0.001846400;28
C++;InsertionSort;1000;0.002207200;29
C++;InsertionSort;1000;0.001778000;30
C++;InsertionSort;1000;0.001877700;31
C++;InsertionSort;1000;0.001975900;32
C++;InsertionSort;1000;0.001845100;33
C++;InsertionSort;1000;0.001939600;34
C++;InsertionSort;1000;0.002398400;35
C++;InsertionSort;1000;0.002041200;36
C++;InsertionSort;1000;0.001961300;37
C++;InsertionSort;1000;0.001788900;38
C++;InsertionSort;1000;0.001775900;39
C++;InsertionSort;1000;0.002307800;40
C++;InsertionSort;1000;0.001836000;41
C++;InsertionSort;1000;0.002033200;42
C++;InsertionSort;1000;0.001975800;43
C++;InsertionSort;1000;0.001732600;44
C++;InsertionSort;1000;0.001892500;45
C++;InsertionSort;1000;0.001809600;46
C++;InsertionSort;1000;0.002305100;47
C++;InsertionSort;1000;0.002114700;48
C++;InsertionSort;1000;0.001672200;49
C++;InsertionSort;1000;0.001920100;50
C++;InsertionSort;1000;0.001747100;51
C++;InsertionSort;1000;0.002089900;52
C++;InsertionSort;1000;0.002014800;53
C++;InsertionSort;1000;0.001689000;54
C++;InsertionSort;1000;0.001806400;55
C++;InsertionSort;1000;0.001805800;56
C++;InsertionSort;1000;0.001945300;57
C++;InsertionSort;1000;0.001848700;58
C++;InsertionSort;1000;0.002053200;59
C++;InsertionSort;1000;0.002010100;60
C++;InsertionSort;1000;0.001698300;61
C++;InsertionSort;1000;0.002089300;62
C++;InsertionSort;1000;0.002168600;63
C++;InsertionSort;1000;0.002200000;64
C++;InsertionSort;1000;0.001888100;65
C++;InsertionSort;1000;0.001933300;66
C++;InsertionSort;1000;0.001758800;67
C++;InsertionSort;1000;0.001826500;68
C++;InsertionSort;1000;0.001803200;69
C++;InsertionSort;1000;0.001868700;70
C++;InsertionSort;1000;0.002150700;71
C++;InsertionSort;1000;0.001984200;72
C++;InsertionSort;1000;0.001923800;73
C++;InsertionSort;1000;0.001817200;74
C++;InsertionSort;1000;0.001885700;75
C++;InsertionSort;1000;0.001779100;76
C++;InsertionSort;1000;0.001747900;77
C++;InsertionSort;1000;0.001713900;78
C++;InsertionSort;1000;0.002144600;79
C++;InsertionSort;1000;0.001801900;80
C++;InsertionSort;1000;0.001813400;81
C++;InsertionSort;1000;0.001844900;82
C++;InsertionSort;1000;0.002070800;83
C++;InsertionSort;1000;0.001895500;84
C++;InsertionSort;1000;0.001975500;85
C++;InsertionSort;1000;0.001928400;86
C++;InsertionSort;1000;0.001970500;87
C++;InsertionSort;1000;0.002087000;88
C++;InsertionSort;1000;0.001693200;89
C++;InsertionSort;1000;0.001857200;90
C++;InsertionSort;1000;0.001811500;91
C++;InsertionSort;1000;0.002012100;92
C++;InsertionSort;1000;0.001957700;93
C++;InsertionSort;1000;0.002123600;94
C++;InsertionSort;1000;0.001883200;95
C++;InsertionSort;1000;0.002028300;96
C++;InsertionSort;1000;0.001960700;97
C++;InsertionSort;1000;0.002027900;98
C++;InsertionSort;1000;0.001912300;99
C++;InsertionSort;1000;0.001895600;100
C++;InsertionSort;10000;0.194037300;1
C++;InsertionSort;10000;0.195791500;2
C++;InsertionSort;10000;0.194464400;3
C++;InsertionSort;10000;0.195590700;4
C++;InsertionSort;10000;0.191911300;5
C++;InsertionSort;10000;0.190665900;6
C++;InsertionSort;10000;0.192142300;7
C++;InsertionSort;10000;0.188491000;8
C++;InsertionSort;10000;0.191543600;9
C++;InsertionSort;10000;0.195422100;10
C++;InsertionSort;10000;0.194841400;11
C++;InsertionSort;10000;0.197949800;12
C++;InsertionSort;10000;0.191705000;13
C++;InsertionSort;10000;0.196828500;14
C++;InsertionSort;10000;0.185954000;15
C++;InsertionSort;10000;0.188904000;16
C++;InsertionSort;10000;0.196978700;17
C++;InsertionSort;10000;0.198632400;18
C++;InsertionSort;10000;0.197870300;19
C++;InsertionSort;10000;0.194352100;20
C++;InsertionSort;10000;0.190029400;21
C++;InsertionSort;10000;0.192245100;22
C++;InsertionSort;10000;0.195842400;23
C++;InsertionSort;10000;0.189914600;24
C++;InsertionSort;10000;0.192790400;25
C++;InsertionSort;10000;0.209255500;26
C++;InsertionSort;10000;0.187152000;27
C++;InsertionSort;10000;0.193511500;28
C++;InsertionSort;10000;0.200714600;29
C++;InsertionSort;10000;0.195797000;30
C++;InsertionSort;10000;0.195914000;31
C++;InsertionSort;10000;0.196563500;32
C++;InsertionSort;10000;0.192759400;33
C++;InsertionSort;10000;0.197426900;34
C++;InsertionSort;10000;0.200818800;35
C++;InsertionSort;10000;0.188858900;36
C++;InsertionSort;10000;0.200330400;37
C++;InsertionSort;10000;0.196851800;38
C++;InsertionSort;10000;0.190814500;39
C++;InsertionSort;10000;0.192165400;40
C++;InsertionSort;10000;0.189464100;41
C++;InsertionSort;10000;0.193772900;42
C++;InsertionSort;10000;0.200539000;43
C++;InsertionSort;10000;0.192261900;44
C++;InsertionSort;10000;0.185746400;45
C++;InsertionSort;10000;0.197895700;46
C++;InsertionSort;10000;0.199595400;47
C++;InsertionSort;10000;0.196473300;48
C++;InsertionSort;10000;0.189538600;49
C++;InsertionSort;10000;0.194625400;50
C++;InsertionSort;10000;0.196808300;51
C++;InsertionSort;10000;0.189615500;52
C++;InsertionSort;10000;0.188574800;53
C++;InsertionSort;10000;0.198065300;54
C++;InsertionSort;10000;0.195960500;55
C++;InsertionSort;10000;0.194567000;56
C++;InsertionSort;10000;0.193269100;57
C++;InsertionSort;10000;0.194998900;58
C++;InsertionSort;10000;0.189544700;59
C++;InsertionSort;10000;0.194930200;60
C++;InsertionSort;10000;0.186723800;61
C++;InsertionSort;10000;0.198310000;62
C++;InsertionSort;10000;0.189860800;63
C++;InsertionSort;10000;0.197404700;64
C++;InsertionSort;10000;0.193653300;65
C++;InsertionSort;10000;0.200783900;66
C++;InsertionSort;10000;0.198714800;67
C++;InsertionSort;10000;0.198323100;68
C++;InsertionSort;10000;0.191228400;69
C++;InsertionSort;10000;0.194463500;70
C++;InsertionSort;10000;0.194398600;71
C++;InsertionSort;10000;0.193942100;72
C++;InsertionSort;10000;0.192344100;73
C++;InsertionSort;10000;0.190763700;74
C++;InsertionSort;10000;0.192214400;75
C++;InsertionSort;10000;0.207100600;76
C++;InsertionSort;10000;0.190777200;77
C++;InsertionSort;10000;0.197749700;78
C++;InsertionSort;10000;0.192536300;79
C++;InsertionSort;10000;0.193230500;80
C++;InsertionSort;10000;0.196831000;81
C++;InsertionSort;10000;0.193235800;82
C++;InsertionSort;10000;0.193759200;83
C++;InsertionSort;10000;0.194286000;84
C++;InsertionSort;10000;0.194588100;85
C++;InsertionSort;10000;0.241935500;86
C++;InsertionSort;10000;0.193299600;87
C++;InsertionSort;10000;0.198861100;88
C++;InsertionSort;10000;0.192443000;89
C++;InsertionSort;10000;0.193705800;90
C++;InsertionSort;10000;0.195504000;91
C++;InsertionSort;10000;0.196178500;92
C++;InsertionSort;10000;0.200672200;93
C++;InsertionSort;10000;0.199294700;94
C++;InsertionSort;10000;0.211106800;95
C++;InsertionSort;10000;0.188347600;96
C++;InsertionSort;10000;0.189136400;97
C++;InsertionSort;10000;0.197771200;98
C++;InsertionSort;10000;0.196905500;99
C++;InsertionSort;10000;0.211049400;100
C++;InsertionSort;100000;19.575202600;1
C++;InsertionSort;100000;19.396248600;2
C++;InsertionSort;100000;19.286273300;3
C++;InsertionSort;100000;19.400837300;4
C++;InsertionSort;100000;19.456936700;5
C++;InsertionSort;100000;19.365884200;6
C++;InsertionSort;100000;19.386061300;7
C++;InsertionSort;100000;19.496035900;8
C++;InsertionSort;100000;19.484885000;9
C++;InsertionSort;100000;19.366224900;10
C++;InsertionSort;100000;19.434582800;11
