Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;MergeSort;100;0.000052700;1
C++;MergeSort;100;0.000051600;2
C++;MergeSort;100;0.000056200;3
C++;MergeSort;100;0.000053600;4
C++;MergeSort;100;0.000051900;5
C++;MergeSort;100;0.000053100;6
C++;MergeSort;100;0.000061500;7
C++;MergeSort;100;0.000051500;8
C++;MergeSort;100;0.000053800;9
C++;MergeSort;100;0.000058700;10
C++;MergeSort;100;0.000051500;11
C++;MergeSort;100;0.000052600;12
C++;MergeSort;100;0.000055100;13
C++;MergeSort;100;0.000056600;14
C++;MergeSort;100;0.000052500;15
C++;MergeSort;100;0.000051800;16
C++;MergeSort;100;0.000062400;17
C++;MergeSort;100;0.000052000;18
C++;MergeSort;100;0.000050400;19
C++;MergeSort;100;0.000053700;20
C++;MergeSort;100;0.000057300;21
C++;MergeSort;100;0.000051000;22
C++;MergeSort;100;0.000063400;23
C++;MergeSort;100;0.000052700;24
C++;MergeSort;100;0.000054300;25
C++;MergeSort;100;0.000051700;26
C++;MergeSort;100;0.000054900;27
C++;MergeSort;100;0.000053900;28
C++;MergeSort;100;0.000056900;29
C++;MergeSort;100;0.000051200;30
C++;MergeSort;100;0.000051700;31
C++;MergeSort;100;0.000052700;32
C++;MergeSort;100;0.000053200;33
C++;MergeSort;100;0.000052400;34
C++;MergeSort;100;0.000056500;35
C++;MergeSort;100;0.000051900;36
C++;MergeSort;100;0.000058100;37
C++;MergeSort;100;0.000050600;38
C++;MergeSort;100;0.000052000;39
C++;MergeSort;100;0.000051400;40
C++;MergeSort;100;0.000052300;41
C++;MergeSort;100;0.000052000;42
C++;MergeSort;100;0.000055700;43
C++;MergeSort;100;0.000051300;44
C++;MergeSort;100;0.000051100;45
C++;MergeSort;100;0.000052500;46
C++;MergeSort;100;0.000051200;47
C++;MergeSort;100;0.000052200;48
C++;MergeSort;100;0.000055900;49
C++;MergeSort;100;0.000060000;50
C++;MergeSort;100;0.000052500;51
C++;MergeSort;100;0.000052400;52
C++;MergeSort;100;0.000051400;53
C++;MergeSort;100;0.000118400;54
C++;MergeSort;100;0.000100900;55
C++;MergeSort;100;0.000054400;56
C++;MergeSort;100;0.000051600;57
C++;MergeSort;100;0.000051200;58
C++;MergeSort;100;0.000054900;59
C++;MergeSort;100;0.000057400;60
C++;MergeSort;100;0.000052200;61
C++;MergeSort;100;0.000060900;62
C++;MergeSort;100;0.000052700;63
C++;MergeSort;100;0.000050900;64
C++;MergeSort;100;0.000052100;65
C++;MergeSort;100;0.000050700;66
C++;MergeSort;100;0.000051600;67
C++;MergeSort;100;0.000053300;68
C++;MergeSort;100;0.000054400;69
C++;MergeSort;100;0.000052000;70
C++;MergeSort;100;0.000051700;71
C++;MergeSort;100;0.000052600;72
C++;MergeSort;100;0.000062800;73
C++;MergeSort;100;0.000051500;74
C++;MergeSort;100;0.000059100;75
C++;MergeSort;100;0.000055100;76
C++;MergeSort;100;0.000055600;77
C++;MergeSort;100;0.000056000;78
C++;MergeSort;100;0.000051700;79
C++;MergeSort;100;0.000052900;80
C++;MergeSort;100;0.000056300;81
C++;MergeSort;100;0.000051100;82
C++;MergeSort;100;0.000051300;83
C++;MergeSort;100;0.000052100;84
C++;MergeSort;100;0.000052200;85
C++;MergeSort;100;0.000050700;86
C++;MergeSort;100;0.000054300;87
C++;MergeSort;100;0.000055400;88
C++;MergeSort;100;0.000050600;89
C++;MergeSort;100;0.000051300;90
C++;MergeSort;100;0.000060100;91
C++;MergeSort;100;0.000052800;92
C++;MergeSort;100;0.000052000;93
C++;MergeSort;100;0.000083400;94
C++;MergeSort;100;0.000071600;95
C++;MergeSort;100;0.000074700;96
C++;MergeSort;100;0.000098700;97
C++;MergeSort;100;0.000087600;98
C++;MergeSort;100;0.000075100;99
C++;MergeSort;100;0.000053200;100
C++;MergeSort;1000;0.000763800;1
C++;MergeSort;1000;0.000732100;2
C++;MergeSort;1000;0.000496400;3
C++;MergeSort;1000;0.000567700;4
C++;MergeSort;1000;0.000842400;5
C++;MergeSort;1000;0.000719100;6
C++;MergeSort;1000;0.000568300;7
C++;MergeSort;1000;0.000659300;8
C++;MergeSort;1000;0.000493500;9
C++;MergeSort;1000;0.000707200;10
C++;MergeSort;1000;0.000492300;11
C++;MergeSort;1000;0.000541300;12
C++;MergeSort;1000;0.000495300;13
C++;MergeSort;1000;0.000500400;14
C++;MergeSort;1000;0.000496100;15
C++;MergeSort;1000;0.000499300;16
C++;MergeSort;1000;0.000715400;17
C++;MergeSort;1000;0.000719300;18
C++;MergeSort;1000;0.000502000;19
C++;MergeSort;1000;0.000751800;20
C++;MergeSort;1000;0.000826400;21
C++;MergeSort;1000;0.000495500;22
C++;MergeSort;1000;0.000804400;23
C++;MergeSort;1000;0.000817700;24
C++;MergeSort;1000;0.000711300;25
C++;MergeSort;1000;0.000718800;26
C++;MergeSort;1000;0.000715100;27
C++;MergeSort;1000;0.000907600;28
C++;MergeSort;1000;0.000500800;29
C++;MergeSort;1000;0.000497800;30
C++;MergeSort;1000;0.000706000;31
C++;MergeSort;1000;0.000779800;32
C++;MergeSort;1000;0.000561000;33
C++;MergeSort;1000;0.000502000;34
C++;MergeSort;1000;0.000586300;35
C++;MergeSort;1000;0.000672700;36
C++;MergeSort;1000;0.000579100;37
C++;MergeSort;1000;0.000692400;38
C++;MergeSort;1000;0.000514000;39
C++;MergeSort;1000;0.000639900;40
C++;MergeSort;1000;0.000780800;41
C++;MergeSort;1000;0.000641200;42
C++;MergeSort;1000;0.000534300;43
C++;MergeSort;1000;0.000497800;44
C++;MergeSort;1000;0.000861000;45
C++;MergeSort;1000;0.000770000;46
C++;MergeSort;1000;0.000824300;47
C++;MergeSort;1000;0.000689800;48
C++;MergeSort;1000;0.000861200;49
C++;MergeSort;1000;0.000517000;50
C++;MergeSort;1000;0.000647200;51
C++;MergeSort;1000;0.000823300;52
C++;MergeSort;1000;0.000507100;53
C++;MergeSort;1000;0.001098800;54
C++;MergeSort;1000;0.000914900;55
C++;MergeSort;1000;0.000825000;56
C++;MergeSort;1000;0.000509400;57
C++;MergeSort;1000;0.000541500;58
C++;MergeSort;1000;0.000496300;59
C++;MergeSort;1000;0.000541800;60
C++;MergeSort;1000;0.000502300;61
C++;MergeSort;1000;0.000753900;62
C++;MergeSort;1000;0.001357200;63
