Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;QuickSort;100;0.000013600;1
C++;QuickSort;100;0.000013200;2
C++;QuickSort;100;0.000016800;3
C++;QuickSort;100;0.000012800;4
C++;QuickSort;100;0.000013200;5
C++;QuickSort;100;0.000012800;6
C++;QuickSort;100;0.000013000;7
C++;QuickSort;100;0.000012500;8
C++;QuickSort;100;0.000013100;9
C++;QuickSort;100;0.000014600;10
C++;QuickSort;100;0.000013300;11
C++;QuickSort;100;0.000013500;12
C++;QuickSort;100;0.000014100;13
C++;QuickSort;100;0.000012900;14
C++;QuickSort;100;0.000012900;15
C++;QuickSort;100;0.000013200;16
C++;QuickSort;100;0.000013300;17
C++;QuickSort;100;0.000013300;18
C++;QuickSort;100;0.000012900;19
C++;QuickSort;100;0.000013200;20
C++;QuickSort;100;0.000013600;21
C++;QuickSort;100;0.000014800;22
C++;QuickSort;100;0.000012700;23
C++;QuickSort;100;0.000014000;24
C++;QuickSort;100;0.000012800;25
C++;QuickSort;100;0.000013100;26
C++;QuickSort;100;0.000012300;27
C++;QuickSort;100;0.000013000;28
C++;QuickSort;100;0.000013200;29
C++;QuickSort;100;0.000013100;30
C++;QuickSort;100;0.000013400;31
C++;QuickSort;100;0.000013400;32
C++;QuickSort;100;0.000013600;33
C++;QuickSort;100;0.000013400;34
C++;QuickSort;100;0.000013300;35
C++;QuickSort;100;0.000012900;36
C++;QuickSort;100;0.000013400;37
C++;QuickSort;100;0.000014200;38
C++;QuickSort;100;0.000013900;39
C++;QuickSort;100;0.000012400;40
C++;QuickSort;100;0.000012600;41
C++;QuickSort;100;0.000014000;42
C++;QuickSort;100;0.000013200;43
C++;QuickSort;100;0.000013600;44
C++;QuickSort;100;0.000013100;45
C++;QuickSort;100;0.000012700;46
C++;QuickSort;100;0.000014200;47
C++;QuickSort;100;0.000013500;48
C++;QuickSort;100;0.000012800;49
C++;QuickSort;100;0.000013200;50
C++;QuickSort;100;0.000013600;51
C++;QuickSort;100;0.000012700;52
C++;QuickSort;100;0.000013500;53
C++;QuickSort;100;0.000013100;54
C++;QuickSort;100;0.000013100;55
C++;QuickSort;100;0.000013200;56
C++;QuickSort;100;0.000012700;57
C++;QuickSort;100;0.000014200;58
