Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;SelectionSort;100;0.000025300;1
C++;SelectionSort;100;0.000035300;2
C++;SelectionSort;100;0.000024600;3
C++;SelectionSort;100;0.000027000;4
C++;SelectionSort;100;0.000027000;5
C++;SelectionSort;100;0.000025000;6
C++;SelectionSort;100;0.000025300;7
C++;SelectionSort;100;0.000025000;8
C++;SelectionSort;100;0.000025000;9
C++;SelectionSort;100;0.000025300;10
C++;SelectionSort;100;0.000025000;11
C++;SelectionSort;100;0.000024900;12
C++;SelectionSort;100;0.000025600;13
C++;SelectionSort;100;0.000024500;14
C++;SelectionSort;100;0.000033500;15
C++;SelectionSort;100;0.000025800;16
C++;SelectionSort;100;0.000025000;17
C++;SelectionSort;100;0.000030600;18
C++;SelectionSort;100;0.000025300;19
C++;SelectionSort;100;0.000025300;20
C++;SelectionSort;100;0.000025100;21
C++;SelectionSort;100;0.000028700;22
C++;SelectionSort;100;0.000025400;23
C++;SelectionSort;100;0.000026000;24
C++;SelectionSort;100;0.000025200;25
C++;SelectionSort;100;0.000025000;26
C++;SelectionSort;100;0.000024700;27
C++;SelectionSort;100;0.000025200;28
C++;SelectionSort;100;0.000025400;29
C++;SelectionSort;100;0.000025600;30
C++;SelectionSort;100;0.000025200;31
C++;SelectionSort;100;0.000025800;32
C++;SelectionSort;100;0.000025800;33
C++;SelectionSort;100;0.000025000;34
C++;SelectionSort;100;0.000025200;35
C++;SelectionSort;100;0.000024600;36
C++;SelectionSort;100;0.000029200;37
C++;SelectionSort;100;0.000024900;38
C++;SelectionSort;100;0.000025200;39
C++;SelectionSort;100;0.000025200;40
C++;SelectionSort;100;0.000025100;41
C++;SelectionSort;100;0.000025500;42
C++;SelectionSort;100;0.000025500;43
C++;SelectionSort;100;0.000025700;44
C++;SelectionSort;100;0.000025900;45
C++;SelectionSort;100;0.000025100;46
C++;SelectionSort;100;0.000027300;47
C++;SelectionSort;100;0.000025500;48
C++;SelectionSort;100;0.000025400;49
