Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;HeapSort;100;0.000021300;1
C++;HeapSort;100;0.000048800;2
C++;HeapSort;100;0.000021400;3
C++;HeapSort;100;0.000022500;4
C++;HeapSort;100;0.000021300;5
C++;HeapSort;100;0.000021100;6
C++;HeapSort;100;0.000021300;7
C++;HeapSort;100;0.000021000;8
C++;HeapSort;100;0.000021000;9
C++;HeapSort;100;0.000020300;10
C++;HeapSort;100;0.000021700;11
C++;HeapSort;100;0.000027700;12
C++;HeapSort;100;0.000021700;13
C++;HeapSort;100;0.000020700;14
C++;HeapSort;100;0.000027600;15
C++;HeapSort;100;0.000020700;16
C++;HeapSort;100;0.000020500;17
C++;HeapSort;100;0.000020600;18
C++;HeapSort;100;0.000020500;19
C++;HeapSort;100;0.000020900;20
C++;HeapSort;100;0.000020900;21
C++;HeapSort;100;0.000020900;22
C++;HeapSort;100;0.000022300;23
C++;HeapSort;100;0.000021300;24
C++;HeapSort;100;0.000021500;25
C++;HeapSort;100;0.000032200;26
C++;HeapSort;100;0.000027000;27
C++;HeapSort;100;0.000020800;28
C++;HeapSort;100;0.000027300;29
C++;HeapSort;100;0.000020500;30
C++;HeapSort;100;0.000021200;31
C++;HeapSort;100;0.000021800;32
C++;HeapSort;100;0.000020900;33
C++;HeapSort;100;0.000021400;34
C++;HeapSort;100;0.000026300;35
C++;HeapSort;100;0.000021200;36
C++;HeapSort;100;0.000020600;37
C++;HeapSort;100;0.000022100;38
C++;HeapSort;100;0.000021300;39
C++;HeapSort;100;0.000020600;40
C++;HeapSort;100;0.000021400;41
C++;HeapSort;100;0.000020200;42
C++;HeapSort;100;0.000020700;43
C++;HeapSort;100;0.000020300;44
C++;HeapSort;100;0.000022000;45
C++;HeapSort;100;0.000020300;46
C++;HeapSort;100;0.000021400;47
C++;HeapSort;100;0.000020000;48
C++;HeapSort;100;0.000020400;49
C++;HeapSort;100;0.000021600;50
C++;HeapSort;100;0.000020200;51
C++;HeapSort;100;0.000021700;52
C++;HeapSort;100;0.000021100;53
C++;HeapSort;100;0.000019700;54
C++;HeapSort;100;0.000020400;55
C++;HeapSort;100;0.000021100;56
C++;HeapSort;100;0.000020700;57
C++;HeapSort;100;0.000021600;58
