Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;MergeSort;100;0.000054500;1
C++;MergeSort;100;0.000065100;2
C++;MergeSort;100;0.000052700;3
C++;MergeSort;100;0.000053000;4
C++;MergeSort;100;0.000062200;5
C++;MergeSort;100;0.000062200;6
C++;MergeSort;100;0.000055400;7
C++;MergeSort;100;0.000052800;8
C++;MergeSort;100;0.000052900;9
C++;MergeSort;100;0.000057600;10
C++;MergeSort;100;0.000056100;11
C++;MergeSort;100;0.000052600;12
C++;MergeSort;100;0.000059400;13
C++;MergeSort;100;0.000057200;14
C++;MergeSort;100;0.000051500;15
C++;MergeSort;100;0.000056400;16
C++;MergeSort;100;0.000053100;17
C++;MergeSort;100;0.000052000;18
C++;MergeSort;100;0.000052000;19
C++;MergeSort;100;0.000051900;20
C++;MergeSort;100;0.000051900;21
C++;MergeSort;100;0.000062500;22
C++;MergeSort;100;0.000053700;23
C++;MergeSort;100;0.000051900;24
C++;MergeSort;100;0.000059600;25
C++;MergeSort;100;0.000052000;26
C++;MergeSort;100;0.000051400;27
C++;MergeSort;100;0.000052300;28
C++;MergeSort;100;0.000053800;29
C++;MergeSort;100;0.000057300;30
C++;MergeSort;100;0.000052400;31
C++;MergeSort;100;0.000058400;32
C++;MergeSort;100;0.000052400;33
C++;MergeSort;100;0.000052900;34
C++;MergeSort;100;0.000052300;35
C++;MergeSort;100;0.000055100;36
C++;MergeSort;100;0.000052800;37
C++;MergeSort;100;0.000053100;38
C++;MergeSort;100;0.000056900;39
C++;MergeSort;100;0.000056400;40
C++;MergeSort;100;0.000053200;41
C++;MergeSort;100;0.000057900;42
C++;MergeSort;100;0.000052400;43
C++;MergeSort;100;0.000058900;44
C++;MergeSort;100;0.000052000;45
C++;MergeSort;100;0.000053400;46
C++;MergeSort;100;0.000052500;47
C++;MergeSort;100;0.000053200;48
C++;MergeSort;100;0.000054000;49
C++;MergeSort;100;0.000054800;50
C++;MergeSort;100;0.000052700;51
C++;MergeSort;100;0.000052900;52
C++;MergeSort;100;0.000052000;53
C++;MergeSort;100;0.000052600;54
C++;MergeSort;100;0.000052300;55
C++;MergeSort;100;0.000052500;56
C++;MergeSort;100;0.000064700;57
C++;MergeSort;100;0.000051400;58
C++;MergeSort;100;0.000056600;59
C++;MergeSort;100;0.000053300;60
C++;MergeSort;100;0.000058500;61
C++;MergeSort;100;0.000058400;62
C++;MergeSort;100;0.000055700;63
C++;MergeSort;100;0.000055300;64
C++;MergeSort;100;0.000051800;65
C++;MergeSort;100;0.000054200;66
C++;MergeSort;100;0.000062300;67
C++;MergeSort;100;0.000095700;68
C++;MergeSort;100;0.000053500;69
C++;MergeSort;100;0.000051800;70
C++;MergeSort;100;0.000055900;71
C++;MergeSort;100;0.000051800;72
C++;MergeSort;100;0.000059300;73
C++;MergeSort;100;0.000063000;74
C++;MergeSort;100;0.000053000;75
C++;MergeSort;100;0.000059200;76
C++;MergeSort;100;0.000051900;77
C++;MergeSort;100;0.000052700;78
C++;MergeSort;100;0.000051600;79
C++;MergeSort;100;0.000052000;80
C++;MergeSort;100;0.000053400;81
C++;MergeSort;100;0.000055900;82
C++;MergeSort;100;0.000054400;83
C++;MergeSort;100;0.000071700;84
C++;MergeSort;100;0.000056600;85
C++;MergeSort;100;0.000052400;86
C++;MergeSort;100;0.000052700;87
C++;MergeSort;100;0.000057200;88
C++;MergeSort;100;0.000053800;89
C++;MergeSort;100;0.000052200;90
C++;MergeSort;100;0.000052200;91
C++;MergeSort;100;0.000054000;92
C++;MergeSort;100;0.000052500;93
C++;MergeSort;100;0.000054300;94
C++;MergeSort;100;0.000052200;95
C++;MergeSort;100;0.000052100;96
