Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C++;QuickSort;100;0.000013300;1
C++;QuickSort;100;0.000013400;2
C++;QuickSort;100;0.000013000;3
C++;QuickSort;100;0.000012800;4
C++;QuickSort;100;0.000013900;5
C++;QuickSort;100;0.000012800;6
C++;QuickSort;100;0.000013000;7
C++;QuickSort;100;0.000012500;8
C++;QuickSort;100;0.000012900;9
C++;QuickSort;100;0.000013500;10
C++;QuickSort;100;0.000012700;11
C++;QuickSort;100;0.000018600;12
C++;QuickSort;100;0.000013500;13
C++;QuickSort;100;0.000013800;14
C++;QuickSort;100;0.000013000;15
C++;QuickSort;100;0.000013200;16
C++;QuickSort;100;0.000013700;17
C++;QuickSort;100;0.000013300;18
C++;QuickSort;100;0.000013000;19
C++;QuickSort;100;0.000013500;20
C++;QuickSort;100;0.000013400;21
C++;QuickSort;100;0.000013600;22
C++;QuickSort;100;0.000012600;23
C++;QuickSort;100;0.000014100;24
C++;QuickSort;100;0.000012900;25
C++;QuickSort;100;0.000013400;26
C++;QuickSort;100;0.000012000;27
C++;QuickSort;100;0.000013000;28
C++;QuickSort;100;0.000012900;29
C++;QuickSort;100;0.000013500;30
C++;QuickSort;100;0.000013600;31
C++;QuickSort;100;0.000013100;32
C++;QuickSort;100;0.000013200;33
C++;QuickSort;100;0.000013100;34
C++;QuickSort;100;0.000013600;35
C++;QuickSort;100;0.000013000;36
C++;QuickSort;100;0.000013200;37
C++;QuickSort;100;0.000020500;38
C++;QuickSort;100;0.000013700;39
C++;QuickSort;100;0.000013300;40
C++;QuickSort;100;0.000012700;41
C++;QuickSort;100;0.000013400;42
C++;QuickSort;100;0.000013700;43
C++;QuickSort;100;0.000013800;44
C++;QuickSort;100;0.000012900;45
C++;QuickSort;100;0.000012600;46
C++;QuickSort;100;0.000013100;47
C++;QuickSort;100;0.000013500;48
C++;QuickSort;100;0.000013000;49
C++;QuickSort;100;0.000012900;50
C++;QuickSort;100;0.000013700;51
C++;QuickSort;100;0.000012300;52
C++;QuickSort;100;0.000013700;53
C++;QuickSort;100;0.000013400;54
C++;QuickSort;100;0.000013000;55
C++;QuickSort;100;0.000013100;56
C++;QuickSort;100;0.000013200;57
C++;QuickSort;100;0.000019400;58
C++;QuickSort;100;0.000013300;59
C++;QuickSort;100;0.000013700;60
C++;QuickSort;100;0.000013400;61
C++;QuickSort;100;0.000013300;62
C++;QuickSort;100;0.000013700;63
C++;QuickSort;100;0.000013600;64
C++;QuickSort;100;0.000013400;65
C++;QuickSort;100;0.000012800;66
C++;QuickSort;100;0.000012700;67
C++;QuickSort;100;0.000013500;68
C++;QuickSort;100;0.000013000;69
C++;QuickSort;100;0.000013300;70
C++;QuickSort;100;0.000013500;71
C++;QuickSort;100;0.000013800;72
C++;QuickSort;100;0.000013100;73
C++;QuickSort;100;0.000012800;74
C++;QuickSort;100;0.000013300;75
C++;QuickSort;100;0.000012600;76
C++;QuickSort;100;0.000013000;77
C++;QuickSort;100;0.000013000;78
C++;QuickSort;100;0.000013900;79
C++;QuickSort;100;0.000012900;80
C++;QuickSort;100;0.000012800;81
C++;QuickSort;100;0.000013100;82
C++;QuickSort;100;0.000013100;83
C++;QuickSort;100;0.000013500;84
C++;QuickSort;100;0.000013600;85
C++;QuickSort;100;0.000013400;86
C++;QuickSort;100;0.000013200;87
C++;QuickSort;100;0.000013500;88
C++;QuickSort;100;0.000013800;89
C++;QuickSort;100;0.000013100;90
C++;QuickSort;100;0.000013100;91
C++;QuickSort;100;0.000013200;92
C++;QuickSort;100;0.000013400;93
C++;QuickSort;100;0.000017200;94
C++;QuickSort;100;0.000012900;95
C++;QuickSort;100;0.000013500;96
C++;QuickSort;100;0.000013200;97
C++;QuickSort;100;0.000013300;98
C++;QuickSort;100;0.000013000;99
C++;QuickSort;100;0.000013200;100
C++;QuickSort;1000;0.000161300;1
C++;QuickSort;1000;0.000157500;2
C++;QuickSort;1000;0.000166300;3
C++;QuickSort;1000;0.000160200;4
C++;QuickSort;1000;0.000166800;5
C++;QuickSort;1000;0.000161200;6
C++;QuickSort;1000;0.000161500;7
C++;QuickSort;1000;0.000156300;8
C++;QuickSort;1000;0.000158600;9
C++;QuickSort;1000;0.000167400;10
C++;QuickSort;1000;0.000161600;11
C++;QuickSort;1000;0.000160400;12
C++;QuickSort;1000;0.000166600;13
C++;QuickSort;1000;0.000202300;14
C++;QuickSort;1000;0.000159500;15
C++;QuickSort;1000;0.000163900;16
C++;QuickSort;1000;0.000163700;17
C++;QuickSort;1000;0.000158100;18
C++;QuickSort;1000;0.000159400;19
C++;QuickSort;1000;0.000159800;20
C++;QuickSort;1000;0.000163000;21
C++;QuickSort;1000;0.000167900;22
C++;QuickSort;1000;0.000157000;23
C++;QuickSort;1000;0.000166400;24
C++;QuickSort;1000;0.000159900;25
C++;QuickSort;1000;0.000159600;26
C++;QuickSort;1000;0.000158900;27
C++;QuickSort;1000;0.000167500;28
C++;QuickSort;1000;0.000176800;29
C++;QuickSort;1000;0.000159800;30
C++;QuickSort;1000;0.000164200;31
C++;QuickSort;1000;0.000172600;32
C++;QuickSort;1000;0.000163800;33
C++;QuickSort;1000;0.000158000;34
C++;QuickSort;1000;0.000162200;35
C++;QuickSort;1000;0.000162500;36
C++;QuickSort;1000;0.000164100;37
C++;QuickSort;1000;0.000157500;38
C++;QuickSort;1000;0.000157900;39
C++;QuickSort;1000;0.000157900;40
C++;QuickSort;1000;0.000159600;41
C++;QuickSort;1000;0.000161700;42
C++;QuickSort;1000;0.000159500;43
C++;QuickSort;1000;0.000166600;44
C++;QuickSort;1000;0.000163800;45
C++;QuickSort;1000;0.000158000;46
C++;QuickSort;1000;0.000155500;47
C++;QuickSort;1000;0.000160900;48
C++;QuickSort;1000;0.000165900;49
C++;QuickSort;1000;0.000159100;50
C++;QuickSort;1000;0.000162500;51
C++;QuickSort;1000;0.000164700;52
C++;QuickSort;1000;0.000168100;53
C++;QuickSort;1000;0.000162300;54
C++;QuickSort;1000;0.000156300;55
C++;QuickSort;1000;0.000157400;56
C++;QuickSort;1000;0.000165700;57
C++;QuickSort;1000;0.000161300;58
C++;QuickSort;1000;0.000158400;59
C++;QuickSort;1000;0.000164900;60
C++;QuickSort;1000;0.000167900;61
C++;QuickSort;1000;0.000167500;62
C++;QuickSort;1000;0.000169700;63
C++;QuickSort;1000;0.000161200;64
C++;QuickSort;1000;0.000164800;65
C++;QuickSort;1000;0.000158000;66
C++;QuickSort;1000;0.000163100;67
C++;QuickSort;1000;0.000168800;68
C++;QuickSort;1000;0.000171600;69
C++;QuickSort;1000;0.000159100;70
C++;QuickSort;1000;0.000160100;71
C++;QuickSort;1000;0.000159400;72
C++;QuickSort;1000;0.000158200;73
C++;QuickSort;1000;0.000164800;74
C++;QuickSort;1000;0.000160000;75
C++;QuickSort;1000;0.000159800;76
C++;QuickSort;1000;0.000167400;77
C++;QuickSort;1000;0.000168200;78
C++;QuickSort;1000;0.000176200;79
C++;QuickSort;1000;0.000183400;80
C++;QuickSort;1000;0.000158400;81
C++;QuickSort;1000;0.000162300;82
C++;QuickSort;1000;0.000170200;83
C++;QuickSort;1000;0.000160900;84
C++;QuickSort;1000;0.000160000;85
C++;QuickSort;1000;0.000156600;86
C++;QuickSort;1000;0.000161800;87
C++;QuickSort;1000;0.000163100;88
C++;QuickSort;1000;0.000165500;89
C++;QuickSort;1000;0.000161300;90
C++;QuickSort;1000;0.000159900;91
C++;QuickSort;1000;0.000163500;92
C++;QuickSort;1000;0.000175700;93
C++;QuickSort;1000;0.000162100;94
C++;QuickSort;1000;0.000168300;95
C++;QuickSort;1000;0.000157700;96
C++;QuickSort;1000;0.000166000;97
C++;QuickSort;1000;0.000156700;98
C++;QuickSort;1000;0.000168500;99
C++;QuickSort;1000;0.000158100;100
C++;QuickSort;10000;0.002080800;1
C++;QuickSort;10000;0.002017400;2
C++;QuickSort;10000;0.001981400;3
C++;QuickSort;10000;0.002043400;4
C++;QuickSort;10000;0.002054500;5
C++;QuickSort;10000;0.002094200;6
C++;QuickSort;10000;0.002027100;7
C++;QuickSort;10000;0.001993300;8
C++;QuickSort;10000;0.002054200;9
C++;QuickSort;10000;0.002063000;10
C++;QuickSort;10000;0.002060300;11
C++;QuickSort;10000;0.002012200;12
C++;QuickSort;10000;0.002073500;13
C++;QuickSort;10000;0.002066500;14
C++;QuickSort;10000;0.002028500;15
C++;QuickSort;10000;0.001999400;16
C++;QuickSort;10000;0.002092400;17
C++;QuickSort;10000;0.002040300;18
C++;QuickSort;10000;0.002036500;19
C++;QuickSort;10000;0.002033800;20
C++;QuickSort;10000;0.002044200;21
C++;QuickSort;10000;0.002034200;22
C++;QuickSort;10000;0.002027700;23
C++;QuickSort;10000;0.002094100;24
C++;QuickSort;10000;0.002116900;25
C++;QuickSort;10000;0.002010100;26
C++;QuickSort;10000;0.002114400;27
C++;QuickSort;10000;0.002061400;28
C++;QuickSort;10000;0.002053300;29
C++;QuickSort;10000;0.002107700;30
C++;QuickSort;10000;0.002081300;31
C++;QuickSort;10000;0.002033100;32
C++;QuickSort;10000;0.002053400;33
C++;QuickSort;10000;0.002013700;34
C++;QuickSort;10000;0.002047400;35
C++;QuickSort;10000;0.002078500;36
C++;QuickSort;10000;0.002159500;37
C++;QuickSort;10000;0.002045000;38
C++;QuickSort;10000;0.002052000;39
C++;QuickSort;10000;0.002116200;40
C++;QuickSort;10000;0.002019500;41
C++;QuickSort;10000;0.002018700;42
C++;QuickSort;10000;0.002004200;43
C++;QuickSort;10000;0.002067900;44
C++;QuickSort;10000;0.002090900;45
C++;QuickSort;10000;0.002022000;46
C++;QuickSort;10000;0.002026500;47
C++;QuickSort;10000;0.002059300;48
C++;QuickSort;10000;0.002029800;49
C++;QuickSort;10000;0.002062200;50
C++;QuickSort;10000;0.002074100;51
C++;QuickSort;10000;0.002049900;52
C++;QuickSort;10000;0.002104800;53
C++;QuickSort;10000;0.002086900;54
C++;QuickSort;10000;0.002089000;55
C++;QuickSort;10000;0.002021800;56
C++;QuickSort;10000;0.002069500;57
C++;QuickSort;10000;0.002028500;58
C++;QuickSort;10000;0.002023800;59
C++;QuickSort;10000;0.002027200;60
C++;QuickSort;10000;0.002037900;61
C++;QuickSort;10000;0.001989500;62
