Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;BubbleSort;100;0.000032;1
C;BubbleSort;100;0.000032;2
C;BubbleSort;100;0.000032;3
C;BubbleSort;100;0.000035;4
C;BubbleSort;100;0.000032;5
C;BubbleSort;100;0.000032;6
C;BubbleSort;100;0.000033;7
C;BubbleSort;100;0.000033;8
C;BubbleSort;100;0.000032;9
C;BubbleSort;100;0.000044;10
C;BubbleSort;100;0.000034;11
C;BubbleSort;100;0.000034;12
C;BubbleSort;100;0.000032;13
C;BubbleSort;100;0.000033;14
C;BubbleSort;100;0.000033;15
C;BubbleSort;100;0.000034;16
C;BubbleSort;100;0.000034;17
C;BubbleSort;100;0.000034;18
C;BubbleSort;100;0.000032;19
C;BubbleSort;100;0.000032;20
C;BubbleSort;100;0.000034;21
C;BubbleSort;100;0.000033;22
C;BubbleSort;100;0.000033;23
C;BubbleSort;100;0.000039;24
C;BubbleSort;100;0.000032;25
C;BubbleSort;100;0.000034;26
C;BubbleSort;100;0.000032;27
C;BubbleSort;100;0.000034;28
C;BubbleSort;100;0.000047;29
C;BubbleSort;100;0.000034;30
C;BubbleSort;100;0.000034;31
C;BubbleSort;100;0.000034;32
C;BubbleSort;100;0.000034;33
C;BubbleSort;100;0.000033;34
C;BubbleSort;100;0.000034;35
C;BubbleSort;100;0.000034;36
C;BubbleSort;100;0.000033;37
C;BubbleSort;100;0.000034;38
C;BubbleSort;100;0.000035;39
C;BubbleSort;100;0.000033;40
C;BubbleSort;100;0.000036;41
C;BubbleSort;100;0.000033;42
C;BubbleSort;100;0.000032;43
C;BubbleSort;100;0.000036;44
C;BubbleSort;100;0.000035;45
C;BubbleSort;100;0.000036;46
C;BubbleSort;100;0.000034;47
C;BubbleSort;100;0.000035;48
C;BubbleSort;100;0.000034;49
C;BubbleSort;100;0.000032;50
C;BubbleSort;100;0.000034;51
C;BubbleSort;100;0.000033;52
C;BubbleSort;100;0.000033;53
C;BubbleSort;100;0.000033;54
C;BubbleSort;100;0.000036;55
C;BubbleSort;100;0.000033;56
C;BubbleSort;100;0.000033;57
C;BubbleSort;100;0.000034;58
C;BubbleSort;100;0.000033;59
C;BubbleSort;100;0.000034;60
C;BubbleSort;100;0.000031;61
C;BubbleSort;100;0.000036;62
C;BubbleSort;100;0.000034;63
C;BubbleSort;100;0.000036;64
C;BubbleSort;100;0.000051;65
C;BubbleSort;100;0.000034;66
C;BubbleSort;100;0.000035;67
C;BubbleSort;100;0.000035;68
C;BubbleSort;100;0.000042;69
C;BubbleSort;100;0.000043;70
C;BubbleSort;100;0.000034;71
C;BubbleSort;100;0.000034;72
C;BubbleSort;100;0.000032;73
C;BubbleSort;100;0.000034;74
C;BubbleSort;100;0.000032;75
C;BubbleSort;100;0.000034;76
C;BubbleSort;100;0.000032;77
C;BubbleSort;100;0.000033;78
C;BubbleSort;100;0.000036;79
C;BubbleSort;100;0.000034;80
C;BubbleSort;100;0.000034;81
C;BubbleSort;100;0.000034;82
C;BubbleSort;100;0.000033;83
C;BubbleSort;100;0.000034;84
C;BubbleSort;100;0.000036;85
C;BubbleSort;100;0.000036;86
C;BubbleSort;100;0.000034;87
C;BubbleSort;100;0.000034;88
C;BubbleSort;100;0.000034;89
C;BubbleSort;100;0.000034;90
C;BubbleSort;100;0.000032;91
C;BubbleSort;100;0.000034;92
C;BubbleSort;100;0.000033;93
C;BubbleSort;100;0.000033;94
C;BubbleSort;100;0.000034;95
C;BubbleSort;100;0.000039;96
C;BubbleSort;100;0.000031;97
C;BubbleSort;100;0.000034;98
C;BubbleSort;100;0.000034;99
C;BubbleSort;100;0.000034;100
C;BubbleSort;1000;0.002377;1
C;BubbleSort;1000;0.002364;2
C;BubbleSort;1000;0.002287;3
C;BubbleSort;1000;0.002297;4
C;BubbleSort;1000;0.002342;5
C;BubbleSort;1000;0.002336;6
C;BubbleSort;1000;0.002380;7
C;BubbleSort;1000;0.002329;8
C;BubbleSort;1000;0.002289;9
C;BubbleSort;1000;0.002250;10
C;BubbleSort;1000;0.002302;11
C;BubbleSort;1000;0.002291;12
C;BubbleSort;1000;0.002313;13
C;BubbleSort;1000;0.002284;14
C;BubbleSort;1000;0.002263;15
C;BubbleSort;1000;0.002289;16
C;BubbleSort;1000;0.002265;17
C;BubbleSort;1000;0.002291;18
C;BubbleSort;1000;0.002326;19
C;BubbleSort;1000;0.002292;20
