Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;HeapSort;100;0.000014;1
C;HeapSort;100;0.000013;2
C;HeapSort;100;0.000015;3
C;HeapSort;100;0.000014;4
C;HeapSort;100;0.000014;5
C;HeapSort;100;0.000015;6
C;HeapSort;100;0.000015;7
C;HeapSort;100;0.000013;8
C;HeapSort;100;0.000014;9
C;HeapSort;100;0.000013;10
C;HeapSort;100;0.000015;11
C;HeapSort;100;0.000014;12
C;HeapSort;100;0.000014;13
C;HeapSort;100;0.000014;14
C;HeapSort;100;0.000016;15
C;HeapSort;100;0.000014;16
C;HeapSort;100;0.000014;17
C;HeapSort;100;0.000013;18
C;HeapSort;100;0.000015;19
C;HeapSort;100;0.000015;20
C;HeapSort;100;0.000013;21
C;HeapSort;100;0.000016;22
C;HeapSort;100;0.000015;23
C;HeapSort;100;0.000015;24
C;HeapSort;100;0.000014;25
C;HeapSort;100;0.000015;26
C;HeapSort;100;0.000014;27
C;HeapSort;100;0.000014;28
C;HeapSort;100;0.000015;29
C;HeapSort;100;0.000013;30
C;HeapSort;100;0.000014;31
C;HeapSort;100;0.000014;32
C;HeapSort;100;0.000014;33
C;HeapSort;100;0.000015;34
C;HeapSort;100;0.000014;35
C;HeapSort;100;0.000014;36
C;HeapSort;100;0.000013;37
C;HeapSort;100;0.000016;38
C;HeapSort;100;0.000014;39
C;HeapSort;100;0.000016;40
C;HeapSort;100;0.000014;41
C;HeapSort;100;0.000015;42
C;HeapSort;100;0.000015;43
C;HeapSort;100;0.000014;44
C;HeapSort;100;0.000014;45
C;HeapSort;100;0.000014;46
C;HeapSort;100;0.000014;47
C;HeapSort;100;0.000013;48
C;HeapSort;100;0.000014;49
C;HeapSort;100;0.000013;50
C;HeapSort;100;0.000014;51
C;HeapSort;100;0.000014;52
C;HeapSort;100;0.000014;53
C;HeapSort;100;0.000013;54
C;HeapSort;100;0.000015;55
C;HeapSort;100;0.000013;56
C;HeapSort;100;0.000014;57
C;HeapSort;100;0.000015;58
C;HeapSort;100;0.000014;59
C;HeapSort;100;0.000013;60
C;HeapSort;100;0.000016;61
C;HeapSort;100;0.000014;62
C;HeapSort;100;0.000013;63
C;HeapSort;100;0.000014;64
C;HeapSort;100;0.000015;65
C;HeapSort;100;0.000014;66
C;HeapSort;100;0.000013;67
C;HeapSort;100;0.000013;68
C;HeapSort;100;0.000014;69
C;HeapSort;100;0.000015;70
C;HeapSort;100;0.000014;71
C;HeapSort;100;0.000016;72
C;HeapSort;100;0.000014;73
C;HeapSort;100;0.000015;74
C;HeapSort;100;0.000013;75
C;HeapSort;100;0.000015;76
C;HeapSort;100;0.000015;77
C;HeapSort;100;0.000014;78
C;HeapSort;100;0.000015;79
C;HeapSort;100;0.000015;80
C;HeapSort;100;0.000015;81
C;HeapSort;100;0.000014;82
C;HeapSort;100;0.000014;83
C;HeapSort;100;0.000015;84
C;HeapSort;100;0.000023;85
C;HeapSort;100;0.000015;86
C;HeapSort;100;0.000015;87
C;HeapSort;100;0.000016;88
C;HeapSort;100;0.000014;89
C;HeapSort;100;0.000013;90
C;HeapSort;100;0.000015;91
C;HeapSort;100;0.000013;92
C;HeapSort;100;0.000014;93
