Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;InsertionSort;100;0.000011;1
C;InsertionSort;100;0.000012;2
C;InsertionSort;100;0.000012;3
C;InsertionSort;100;0.000012;4
C;InsertionSort;100;0.000012;5
C;InsertionSort;100;0.000011;6
C;InsertionSort;100;0.000011;7
C;InsertionSort;100;0.000012;8
C;InsertionSort;100;0.000012;9
C;InsertionSort;100;0.000013;10
C;InsertionSort;100;0.000012;11
C;InsertionSort;100;0.000012;12
C;InsertionSort;100;0.000012;13
C;InsertionSort;100;0.000012;14
C;InsertionSort;100;0.000013;15
C;InsertionSort;100;0.000013;16
C;InsertionSort;100;0.000012;17
C;InsertionSort;100;0.000018;18
C;InsertionSort;100;0.000011;19
C;InsertionSort;100;0.000011;20
C;InsertionSort;100;0.000013;21
C;InsertionSort;100;0.000012;22
C;InsertionSort;100;0.000012;23
C;InsertionSort;100;0.000012;24
C;InsertionSort;100;0.000012;25
C;InsertionSort;100;0.000012;26
C;InsertionSort;100;0.000012;27
C;InsertionSort;100;0.000013;28
C;InsertionSort;100;0.000012;29
C;InsertionSort;100;0.000013;30
C;InsertionSort;100;0.000011;31
C;InsertionSort;100;0.000012;32
C;InsertionSort;100;0.000013;33
C;InsertionSort;100;0.000011;34
C;InsertionSort;100;0.000011;35
C;InsertionSort;100;0.000012;36
C;InsertionSort;100;0.000011;37
C;InsertionSort;100;0.000012;38
C;InsertionSort;100;0.000012;39
C;InsertionSort;100;0.000011;40
C;InsertionSort;100;0.000012;41
C;InsertionSort;100;0.000012;42
C;InsertionSort;100;0.000013;43
C;InsertionSort;100;0.000012;44
C;InsertionSort;100;0.000013;45
C;InsertionSort;100;0.000013;46
C;InsertionSort;100;0.000012;47
C;InsertionSort;100;0.000012;48
C;InsertionSort;100;0.000012;49
C;InsertionSort;100;0.000012;50
C;InsertionSort;100;0.000012;51
C;InsertionSort;100;0.000012;52
C;InsertionSort;100;0.000011;53
C;InsertionSort;100;0.000013;54
C;InsertionSort;100;0.000012;55
C;InsertionSort;100;0.000013;56
C;InsertionSort;100;0.000012;57
C;InsertionSort;100;0.000012;58
