Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;MergeSort;100;0.000024;1
C;MergeSort;100;0.000029;2
C;MergeSort;100;0.000024;3
C;MergeSort;100;0.000024;4
C;MergeSort;100;0.000026;5
C;MergeSort;100;0.000033;6
C;MergeSort;100;0.000028;7
C;MergeSort;100;0.000024;8
C;MergeSort;100;0.000024;9
C;MergeSort;100;0.000025;10
C;MergeSort;100;0.000024;11
C;MergeSort;100;0.000031;12
C;MergeSort;100;0.000025;13
C;MergeSort;100;0.000025;14
C;MergeSort;100;0.000031;15
C;MergeSort;100;0.000036;16
C;MergeSort;100;0.000030;17
C;MergeSort;100;0.000026;18
C;MergeSort;100;0.000030;19
C;MergeSort;100;0.000025;20
C;MergeSort;100;0.000026;21
C;MergeSort;100;0.000031;22
C;MergeSort;100;0.000044;23
C;MergeSort;100;0.000026;24
C;MergeSort;100;0.000028;25
C;MergeSort;100;0.000030;26
C;MergeSort;100;0.000025;27
C;MergeSort;100;0.000025;28
C;MergeSort;100;0.000030;29
C;MergeSort;100;0.000024;30
C;MergeSort;100;0.000030;31
C;MergeSort;100;0.000024;32
C;MergeSort;100;0.000033;33
C;MergeSort;100;0.000024;34
C;MergeSort;100;0.000028;35
C;MergeSort;100;0.000027;36
C;MergeSort;100;0.000029;37
C;MergeSort;100;0.000029;38
C;MergeSort;100;0.000025;39
C;MergeSort;100;0.000024;40
C;MergeSort;100;0.000025;41
C;MergeSort;100;0.000032;42
C;MergeSort;100;0.000025;43
C;MergeSort;100;0.000024;44
C;MergeSort;100;0.000024;45
C;MergeSort;100;0.000031;46
C;MergeSort;100;0.000025;47
C;MergeSort;100;0.000024;48
C;MergeSort;100;0.000024;49
C;MergeSort;100;0.000024;50
C;MergeSort;100;0.000032;51
C;MergeSort;100;0.000025;52
C;MergeSort;100;0.000025;53
C;MergeSort;100;0.000030;54
C;MergeSort;100;0.000039;55
C;MergeSort;100;0.000031;56
C;MergeSort;100;0.000031;57
C;MergeSort;100;0.000024;58
C;MergeSort;100;0.000032;59
C;MergeSort;100;0.000027;60
C;MergeSort;100;0.000025;61
C;MergeSort;100;0.000029;62
C;MergeSort;100;0.000031;63
C;MergeSort;100;0.000025;64
C;MergeSort;100;0.000028;65
C;MergeSort;100;0.000025;66
C;MergeSort;100;0.000025;67
C;MergeSort;100;0.000026;68
C;MergeSort;100;0.000024;69
C;MergeSort;100;0.000024;70
C;MergeSort;100;0.000024;71
C;MergeSort;100;0.000025;72
C;MergeSort;100;0.000100;73
C;MergeSort;100;0.000024;74
C;MergeSort;100;0.000025;75
C;MergeSort;100;0.000032;76
C;MergeSort;100;0.000032;77
C;MergeSort;100;0.000032;78
C;MergeSort;100;0.000027;79
C;MergeSort;100;0.000030;80
C;MergeSort;100;0.000034;81
C;MergeSort;100;0.000025;82
C;MergeSort;100;0.000025;83
C;MergeSort;100;0.000025;84
C;MergeSort;100;0.000024;85
C;MergeSort;100;0.000025;86
C;MergeSort;100;0.000025;87
