Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;QuickSort;100;0.000017;1
C;QuickSort;100;0.000012;2
C;QuickSort;100;0.000012;3
C;QuickSort;100;0.000011;4
C;QuickSort;100;0.000012;5
C;QuickSort;100;0.000010;6
C;QuickSort;100;0.000012;7
C;QuickSort;100;0.000011;8
C;QuickSort;100;0.000012;9
C;QuickSort;100;0.000011;10
C;QuickSort;100;0.000012;11
C;QuickSort;100;0.000012;12
C;QuickSort;100;0.000013;13
C;QuickSort;100;0.000012;14
C;QuickSort;100;0.000012;15
C;QuickSort;100;0.000011;16
C;QuickSort;100;0.000012;17
C;QuickSort;100;0.000011;18
C;QuickSort;100;0.000011;19
C;QuickSort;100;0.000011;20
C;QuickSort;100;0.000012;21
C;QuickSort;100;0.000012;22
C;QuickSort;100;0.000011;23
C;QuickSort;100;0.000012;24
C;QuickSort;100;0.000012;25
C;QuickSort;100;0.000011;26
C;QuickSort;100;0.000010;27
C;QuickSort;100;0.000012;28
C;QuickSort;100;0.000011;29
C;QuickSort;100;0.000011;30
C;QuickSort;100;0.000012;31
C;QuickSort;100;0.000011;32
C;QuickSort;100;0.000012;33
C;QuickSort;100;0.000012;34
C;QuickSort;100;0.000011;35
C;QuickSort;100;0.000011;36
C;QuickSort;100;0.000012;37
C;QuickSort;100;0.000012;38
C;QuickSort;100;0.000012;39
C;QuickSort;100;0.000011;40
C;QuickSort;100;0.000011;41
C;QuickSort;100;0.000012;42
C;QuickSort;100;0.000014;43
C;QuickSort;100;0.000018;44
C;QuickSort;100;0.000011;45
C;QuickSort;100;0.000015;46
C;QuickSort;100;0.000020;47
C;QuickSort;100;0.000014;48
C;QuickSort;100;0.000011;49
C;QuickSort;100;0.000012;50
C;QuickSort;100;0.000012;51
C;QuickSort;100;0.000012;52
C;QuickSort;100;0.000011;53
C;QuickSort;100;0.000013;54
C;QuickSort;100;0.000014;55
C;QuickSort;100;0.000012;56
C;QuickSort;100;0.000016;57
C;QuickSort;100;0.000017;58
C;QuickSort;100;0.000014;59
C;QuickSort;100;0.000016;60
C;QuickSort;100;0.000018;61
C;QuickSort;100;0.000020;62
C;QuickSort;100;0.000011;63
C;QuickSort;100;0.000012;64
C;QuickSort;100;0.000011;65
C;QuickSort;100;0.000011;66
C;QuickSort;100;0.000011;67
C;QuickSort;100;0.000011;68
C;QuickSort;100;0.000012;69
C;QuickSort;100;0.000011;70
C;QuickSort;100;0.000011;71
C;QuickSort;100;0.000012;72
C;QuickSort;100;0.000011;73
C;QuickSort;100;0.000011;74
C;QuickSort;100;0.000011;75
C;QuickSort;100;0.000011;76
C;QuickSort;100;0.000012;77
C;QuickSort;100;0.000011;78
C;QuickSort;100;0.000012;79
C;QuickSort;100;0.000011;80
