Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;SelectionSort;100;0.000021;1
C;SelectionSort;100;0.000024;2
C;SelectionSort;100;0.000024;3
C;SelectionSort;100;0.000024;4
C;SelectionSort;100;0.000027;5
C;SelectionSort;100;0.000025;6
C;SelectionSort;100;0.000024;7
C;SelectionSort;100;0.000029;8
C;SelectionSort;100;0.000026;9
C;SelectionSort;100;0.000025;10
C;SelectionSort;100;0.000028;11
C;SelectionSort;100;0.000029;12
C;SelectionSort;100;0.000020;13
C;SelectionSort;100;0.000024;14
C;SelectionSort;100;0.000019;15
C;SelectionSort;100;0.000025;16
C;SelectionSort;100;0.000023;17
C;SelectionSort;100;0.000024;18
C;SelectionSort;100;0.000028;19
C;SelectionSort;100;0.000028;20
C;SelectionSort;100;0.000031;21
C;SelectionSort;100;0.000027;22
C;SelectionSort;100;0.000024;23
C;SelectionSort;100;0.000026;24
C;SelectionSort;100;0.000026;25
C;SelectionSort;100;0.000025;26
C;SelectionSort;100;0.000023;27
C;SelectionSort;100;0.000019;28
C;SelectionSort;100;0.000024;29
C;SelectionSort;100;0.000025;30
C;SelectionSort;100;0.000027;31
C;SelectionSort;100;0.000024;32
C;SelectionSort;100;0.000025;33
C;SelectionSort;100;0.000027;34
C;SelectionSort;100;0.000024;35
C;SelectionSort;100;0.000025;36
C;SelectionSort;100;0.000021;37
C;SelectionSort;100;0.000024;38
C;SelectionSort;100;0.000028;39
C;SelectionSort;100;0.000021;40
C;SelectionSort;100;0.000029;41
C;SelectionSort;100;0.000026;42
C;SelectionSort;100;0.000025;43
C;SelectionSort;100;0.000025;44
C;SelectionSort;100;0.000028;45
C;SelectionSort;100;0.000026;46
C;SelectionSort;100;0.000023;47
C;SelectionSort;100;0.000020;48
C;SelectionSort;100;0.000019;49
C;SelectionSort;100;0.000024;50
C;SelectionSort;100;0.000025;51
C;SelectionSort;100;0.000028;52
C;SelectionSort;100;0.000023;53
C;SelectionSort;100;0.000028;54
C;SelectionSort;100;0.000023;55
C;SelectionSort;100;0.000023;56
C;SelectionSort;100;0.000026;57
C;SelectionSort;100;0.000020;58
C;SelectionSort;100;0.000023;59
C;SelectionSort;100;0.000032;60
C;SelectionSort;100;0.000024;61
C;SelectionSort;100;0.000028;62
C;SelectionSort;100;0.000025;63
C;SelectionSort;100;0.000021;64
C;SelectionSort;100;0.000019;65
C;SelectionSort;100;0.000026;66
C;SelectionSort;100;0.000015;67
C;SelectionSort;100;0.000025;68
C;SelectionSort;100;0.000024;69
C;SelectionSort;100;0.000026;70
C;SelectionSort;100;0.000025;71
C;SelectionSort;100;0.000024;72
C;SelectionSort;100;0.000026;73
C;SelectionSort;100;0.000025;74
C;SelectionSort;100;0.000019;75
C;SelectionSort;100;0.000024;76
C;SelectionSort;100;0.000024;77
C;SelectionSort;100;0.000019;78
C;SelectionSort;100;0.000032;79
C;SelectionSort;100;0.000019;80
C;SelectionSort;100;0.000026;81
C;SelectionSort;100;0.000025;82
C;SelectionSort;100;0.000026;83
C;SelectionSort;100;0.000034;84
C;SelectionSort;100;0.000029;85
C;SelectionSort;100;0.000029;86
C;SelectionSort;100;0.000024;87
C;SelectionSort;100;0.000020;88
C;SelectionSort;100;0.000024;89
C;SelectionSort;100;0.000022;90
C;SelectionSort;100;0.000033;91
C;SelectionSort;100;0.000035;92
C;SelectionSort;100;0.000024;93
C;SelectionSort;100;0.000025;94
C;SelectionSort;100;0.000024;95
C;SelectionSort;100;0.000024;96
C;SelectionSort;100;0.000020;97
C;SelectionSort;100;0.000019;98
C;SelectionSort;100;0.000022;99
C;SelectionSort;100;0.000019;100
C;SelectionSort;1000;0.000967;1
C;SelectionSort;1000;0.001180;2
C;SelectionSort;1000;0.001328;3
C;SelectionSort;1000;0.001136;4
C;SelectionSort;1000;0.001295;5
C;SelectionSort;1000;0.000916;6
C;SelectionSort;1000;0.001599;7
C;SelectionSort;1000;0.001515;8
C;SelectionSort;1000;0.000908;9
C;SelectionSort;1000;0.001338;10
C;SelectionSort;1000;0.000921;11
C;SelectionSort;1000;0.001443;12
C;SelectionSort;1000;0.001754;13
C;SelectionSort;1000;0.001439;14
C;SelectionSort;1000;0.001438;15
C;SelectionSort;1000;0.001336;16
C;SelectionSort;1000;0.001308;17
C;SelectionSort;1000;0.001339;18
C;SelectionSort;1000;0.000905;19
C;SelectionSort;1000;0.001343;20
C;SelectionSort;1000;0.001410;21
C;SelectionSort;1000;0.000873;22
C;SelectionSort;1000;0.001037;23
C;SelectionSort;1000;0.000870;24
C;SelectionSort;1000;0.000904;25
C;SelectionSort;1000;0.001140;26
C;SelectionSort;1000;0.001531;27
C;SelectionSort;1000;0.001263;28
C;SelectionSort;1000;0.000896;29
C;SelectionSort;1000;0.001494;30
C;SelectionSort;1000;0.001497;31
C;SelectionSort;1000;0.000871;32
C;SelectionSort;1000;0.000934;33
C;SelectionSort;1000;0.001339;34
C;SelectionSort;1000;0.001683;35
C;SelectionSort;1000;0.000876;36
C;SelectionSort;1000;0.000870;37
C;SelectionSort;1000;0.001082;38
C;SelectionSort;1000;0.001049;39
C;SelectionSort;1000;0.001349;40
C;SelectionSort;1000;0.001149;41
C;SelectionSort;1000;0.001168;42
C;SelectionSort;1000;0.001342;43
C;SelectionSort;1000;0.000957;44
C;SelectionSort;1000;0.001169;45
C;SelectionSort;1000;0.001323;46
C;SelectionSort;1000;0.000938;47
C;SelectionSort;1000;0.000920;48
C;SelectionSort;1000;0.001343;49
C;SelectionSort;1000;0.000870;50
C;SelectionSort;1000;0.001008;51
C;SelectionSort;1000;0.001339;52
C;SelectionSort;1000;0.001339;53
C;SelectionSort;1000;0.001335;54
C;SelectionSort;1000;0.001341;55
C;SelectionSort;1000;0.001176;56
C;SelectionSort;1000;0.001340;57
C;SelectionSort;1000;0.001639;58
C;SelectionSort;1000;0.001346;59
C;SelectionSort;1000;0.001375;60
C;SelectionSort;1000;0.001346;61
C;SelectionSort;1000;0.001216;62
C;SelectionSort;1000;0.001006;63
C;SelectionSort;1000;0.001433;64
C;SelectionSort;1000;0.001071;65
C;SelectionSort;1000;0.001398;66
C;SelectionSort;1000;0.001333;67
C;SelectionSort;1000;0.001324;68
C;SelectionSort;1000;0.000933;69
C;SelectionSort;1000;0.001211;70
C;SelectionSort;1000;0.001108;71
C;SelectionSort;1000;0.001046;72
C;SelectionSort;1000;0.001387;73
C;SelectionSort;1000;0.000981;74
C;SelectionSort;1000;0.001346;75
C;SelectionSort;1000;0.000939;76
C;SelectionSort;1000;0.000873;77
C;SelectionSort;1000;0.001425;78
C;SelectionSort;1000;0.001607;79
C;SelectionSort;1000;0.001538;80
C;SelectionSort;1000;0.001350;81
C;SelectionSort;1000;0.001256;82
C;SelectionSort;1000;0.001341;83
C;SelectionSort;1000;0.000873;84
C;SelectionSort;1000;0.001284;85
C;SelectionSort;1000;0.001344;86
C;SelectionSort;1000;0.001395;87
C;SelectionSort;1000;0.001412;88
C;SelectionSort;1000;0.000922;89
C;SelectionSort;1000;0.001295;90
C;SelectionSort;1000;0.001142;91
C;SelectionSort;1000;0.001338;92
C;SelectionSort;1000;0.001334;93
C;SelectionSort;1000;0.001338;94
C;SelectionSort;1000;0.001761;95
C;SelectionSort;1000;0.001351;96
C;SelectionSort;1000;0.001411;97
C;SelectionSort;1000;0.001382;98
C;SelectionSort;1000;0.001122;99
C;SelectionSort;1000;0.001236;100
C;SelectionSort;10000;0.079713;1
C;SelectionSort;10000;0.094423;2
C;SelectionSort;10000;0.088413;3
C;SelectionSort;10000;0.089318;4
C;SelectionSort;10000;0.090241;5
C;SelectionSort;10000;0.092780;6
C;SelectionSort;10000;0.084952;7
C;SelectionSort;10000;0.098701;8
C;SelectionSort;10000;0.089407;9
C;SelectionSort;10000;0.083245;10
C;SelectionSort;10000;0.090583;11
C;SelectionSort;10000;0.089741;12
C;SelectionSort;10000;0.093314;13
C;SelectionSort;10000;0.090335;14
C;SelectionSort;10000;0.079390;15
C;SelectionSort;10000;0.080792;16
C;SelectionSort;10000;0.089497;17
C;SelectionSort;10000;0.087171;18
C;SelectionSort;10000;0.097349;19
C;SelectionSort;10000;0.082365;20
C;SelectionSort;10000;0.082437;21
C;SelectionSort;10000;0.082437;22
C;SelectionSort;10000;0.089928;23
