Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;HeapSort;100;0.000011;1
C;HeapSort;100;0.000009;2
C;HeapSort;100;0.000014;3
C;HeapSort;100;0.000016;4
C;HeapSort;100;0.000018;5
C;HeapSort;100;0.000012;6
C;HeapSort;100;0.000012;7
C;HeapSort;100;0.000010;8
C;HeapSort;100;0.000009;9
C;HeapSort;100;0.000010;10
C;HeapSort;100;0.000014;11
C;HeapSort;100;0.000020;12
C;HeapSort;100;0.000011;13
C;HeapSort;100;0.000009;14
C;HeapSort;100;0.000011;15
C;HeapSort;100;0.000009;16
C;HeapSort;100;0.000010;17
C;HeapSort;100;0.000015;18
C;HeapSort;100;0.000010;19
C;HeapSort;100;0.000010;20
C;HeapSort;100;0.000008;21
C;HeapSort;100;0.000012;22
C;HeapSort;100;0.000025;23
C;HeapSort;100;0.000019;24
C;HeapSort;100;0.000012;25
C;HeapSort;100;0.000015;26
C;HeapSort;100;0.000009;27
C;HeapSort;100;0.000016;28
C;HeapSort;100;0.000021;29
C;HeapSort;100;0.000014;30
C;HeapSort;100;0.000012;31
C;HeapSort;100;0.000013;32
C;HeapSort;100;0.000017;33
C;HeapSort;100;0.000013;34
C;HeapSort;100;0.000016;35
C;HeapSort;100;0.000017;36
C;HeapSort;100;0.000009;37
C;HeapSort;100;0.000010;38
C;HeapSort;100;0.000012;39
C;HeapSort;100;0.000012;40
C;HeapSort;100;0.000012;41
C;HeapSort;100;0.000021;42
C;HeapSort;100;0.000023;43
C;HeapSort;100;0.000008;44
C;HeapSort;100;0.000016;45
C;HeapSort;100;0.000013;46
C;HeapSort;100;0.000019;47
C;HeapSort;100;0.000013;48
C;HeapSort;100;0.000013;49
C;HeapSort;100;0.000015;50
C;HeapSort;100;0.000010;51
C;HeapSort;100;0.000010;52
C;HeapSort;100;0.000011;53
C;HeapSort;100;0.000011;54
C;HeapSort;100;0.000011;55
C;HeapSort;100;0.000014;56
C;HeapSort;100;0.000017;57
C;HeapSort;100;0.000012;58
C;HeapSort;100;0.000014;59
C;HeapSort;100;0.000016;60
C;HeapSort;100;0.000010;61
C;HeapSort;100;0.000010;62
C;HeapSort;100;0.000014;63
C;HeapSort;100;0.000016;64
C;HeapSort;100;0.000011;65
C;HeapSort;100;0.000017;66
C;HeapSort;100;0.000018;67
C;HeapSort;100;0.000011;68
C;HeapSort;100;0.000013;69
C;HeapSort;100;0.000010;70
C;HeapSort;100;0.000016;71
C;HeapSort;100;0.000011;72
C;HeapSort;100;0.000012;73
C;HeapSort;100;0.000009;74
C;HeapSort;100;0.000011;75
C;HeapSort;100;0.000016;76
C;HeapSort;100;0.000012;77
C;HeapSort;100;0.000015;78
C;HeapSort;100;0.000020;79
C;HeapSort;100;0.000010;80
C;HeapSort;100;0.000024;81
C;HeapSort;100;0.000025;82
C;HeapSort;100;0.000012;83
C;HeapSort;100;0.000016;84
C;HeapSort;100;0.000016;85
C;HeapSort;100;0.000158;86
C;HeapSort;100;0.000015;87
C;HeapSort;100;0.000009;88
C;HeapSort;100;0.000016;89
C;HeapSort;100;0.000010;90
C;HeapSort;100;0.000013;91
C;HeapSort;100;0.000017;92
C;HeapSort;100;0.000017;93
C;HeapSort;100;0.000020;94
C;HeapSort;100;0.000011;95
C;HeapSort;100;0.000010;96
C;HeapSort;100;0.000009;97
C;HeapSort;100;0.000009;98
C;HeapSort;100;0.000012;99
C;HeapSort;100;0.000011;100
C;HeapSort;1000;0.000206;1
C;HeapSort;1000;0.000140;2
C;HeapSort;1000;0.000122;3
C;HeapSort;1000;0.000301;4
C;HeapSort;1000;0.000170;5
C;HeapSort;1000;0.000147;6
C;HeapSort;1000;0.000218;7
C;HeapSort;1000;0.000267;8
C;HeapSort;1000;0.000222;9
C;HeapSort;1000;0.000180;10
C;HeapSort;1000;0.000222;11
C;HeapSort;1000;0.000216;12
C;HeapSort;1000;0.000113;13
C;HeapSort;1000;0.000193;14
C;HeapSort;1000;0.000161;15
C;HeapSort;1000;0.000334;16
C;HeapSort;1000;0.000243;17
C;HeapSort;1000;0.000239;18
C;HeapSort;1000;0.000223;19
C;HeapSort;1000;0.000126;20
C;HeapSort;1000;0.000232;21
C;HeapSort;1000;0.000172;22
C;HeapSort;1000;0.000120;23
C;HeapSort;1000;0.000144;24
C;HeapSort;1000;0.000131;25
C;HeapSort;1000;0.000134;26
C;HeapSort;1000;0.000124;27
C;HeapSort;1000;0.000137;28
C;HeapSort;1000;0.000120;29
C;HeapSort;1000;0.000295;30
C;HeapSort;1000;0.000259;31
C;HeapSort;1000;0.000156;32
C;HeapSort;1000;0.000131;33
C;HeapSort;1000;0.000162;34
C;HeapSort;1000;0.000214;35
C;HeapSort;1000;0.000172;36
C;HeapSort;1000;0.000117;37
C;HeapSort;1000;0.000116;38
C;HeapSort;1000;0.000168;39
C;HeapSort;1000;0.000197;40
C;HeapSort;1000;0.000204;41
C;HeapSort;1000;0.000127;42
C;HeapSort;1000;0.000323;43
C;HeapSort;1000;0.000125;44
C;HeapSort;1000;0.000240;45
C;HeapSort;1000;0.000251;46
C;HeapSort;1000;0.000113;47
C;HeapSort;1000;0.000203;48
C;HeapSort;1000;0.000123;49
C;HeapSort;1000;0.000139;50
C;HeapSort;1000;0.000239;51
C;HeapSort;1000;0.000146;52
C;HeapSort;1000;0.000127;53
C;HeapSort;1000;0.000115;54
C;HeapSort;1000;0.000173;55
C;HeapSort;1000;0.000276;56
C;HeapSort;1000;0.000334;57
C;HeapSort;1000;0.000118;58
C;HeapSort;1000;0.000187;59
C;HeapSort;1000;0.000248;60
C;HeapSort;1000;0.000127;61
C;HeapSort;1000;0.000289;62
C;HeapSort;1000;0.000298;63
C;HeapSort;1000;0.000488;64
C;HeapSort;1000;0.000122;65
C;HeapSort;1000;0.000246;66
C;HeapSort;1000;0.000182;67
C;HeapSort;1000;0.000497;68
C;HeapSort;1000;0.000124;69
C;HeapSort;1000;0.000198;70
C;HeapSort;1000;0.000208;71
C;HeapSort;1000;0.000139;72
C;HeapSort;1000;0.000126;73
C;HeapSort;1000;0.000117;74
C;HeapSort;1000;0.000136;75
C;HeapSort;1000;0.000201;76
C;HeapSort;1000;0.000113;77
C;HeapSort;1000;0.000166;78
C;HeapSort;1000;0.000148;79
C;HeapSort;1000;0.000166;80
C;HeapSort;1000;0.000140;81
C;HeapSort;1000;0.000267;82
C;HeapSort;1000;0.000213;83
C;HeapSort;1000;0.000111;84
C;HeapSort;1000;0.000180;85
C;HeapSort;1000;0.000159;86
C;HeapSort;1000;0.000225;87
C;HeapSort;1000;0.000292;88
C;HeapSort;1000;0.000222;89
C;HeapSort;1000;0.000154;90
C;HeapSort;1000;0.000135;91
C;HeapSort;1000;0.000230;92
C;HeapSort;1000;0.000119;93
C;HeapSort;1000;0.000216;94
C;HeapSort;1000;0.000214;95
C;HeapSort;1000;0.000165;96
C;HeapSort;1000;0.000484;97
C;HeapSort;1000;0.000147;98
C;HeapSort;1000;0.000155;99
C;HeapSort;1000;0.000149;100
C;HeapSort;10000;0.002334;1
C;HeapSort;10000;0.001811;2
C;HeapSort;10000;0.002766;3
C;HeapSort;10000;0.002351;4
C;HeapSort;10000;0.001605;5
C;HeapSort;10000;0.002399;6
C;HeapSort;10000;0.002203;7
C;HeapSort;10000;0.001573;8
C;HeapSort;10000;0.001824;9
C;HeapSort;10000;0.002003;10
C;HeapSort;10000;0.002294;11
