Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;MergeSort;100;0.000032;1
C;MergeSort;100;0.000024;2
C;MergeSort;100;0.000033;3
C;MergeSort;100;0.000025;4
C;MergeSort;100;0.000026;5
C;MergeSort;100;0.000028;6
C;MergeSort;100;0.000024;7
C;MergeSort;100;0.000024;8
C;MergeSort;100;0.000024;9
C;MergeSort;100;0.000025;10
C;MergeSort;100;0.000034;11
C;MergeSort;100;0.000032;12
C;MergeSort;100;0.000024;13
C;MergeSort;100;0.000024;14
C;MergeSort;100;0.000031;15
C;MergeSort;100;0.000031;16
C;MergeSort;100;0.000025;17
C;MergeSort;100;0.000025;18
C;MergeSort;100;0.000028;19
C;MergeSort;100;0.000027;20
C;MergeSort;100;0.000026;21
C;MergeSort;100;0.000025;22
C;MergeSort;100;0.000025;23
C;MergeSort;100;0.000025;24
C;MergeSort;100;0.000025;25
C;MergeSort;100;0.000029;26
C;MergeSort;100;0.000024;27
C;MergeSort;100;0.000044;28
C;MergeSort;100;0.000025;29
C;MergeSort;100;0.000037;30
C;MergeSort;100;0.000034;31
C;MergeSort;100;0.000040;32
C;MergeSort;100;0.000024;33
C;MergeSort;100;0.000032;34
C;MergeSort;100;0.000039;35
C;MergeSort;100;0.000037;36
C;MergeSort;100;0.000072;37
C;MergeSort;100;0.000031;38
C;MergeSort;100;0.000025;39
C;MergeSort;100;0.000024;40
