Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
C;QuickSort;100;0.000013;1
C;QuickSort;100;0.000013;2
C;QuickSort;100;0.000017;3
C;QuickSort;100;0.000008;4
C;QuickSort;100;0.000007;5
C;QuickSort;100;0.000012;6
C;QuickSort;100;0.000008;7
C;QuickSort;100;0.000014;8
C;QuickSort;100;0.000014;9
C;QuickSort;100;0.000013;10
C;QuickSort;100;0.000008;11
C;QuickSort;100;0.000008;12
C;QuickSort;100;0.000009;13
C;QuickSort;100;0.000016;14
C;QuickSort;100;0.000008;15
C;QuickSort;100;0.000008;16
C;QuickSort;100;0.000018;17
C;QuickSort;100;0.000013;18
C;QuickSort;100;0.000011;19
C;QuickSort;100;0.000006;20
C;QuickSort;100;0.000013;21
C;QuickSort;100;0.000008;22
C;QuickSort;100;0.000010;23
C;QuickSort;100;0.000008;24
C;QuickSort;100;0.000010;25
C;QuickSort;100;0.000016;26
C;QuickSort;100;0.000011;27
C;QuickSort;100;0.000011;28
C;QuickSort;100;0.000009;29
C;QuickSort;100;0.000008;30
C;QuickSort;100;0.000016;31
C;QuickSort;100;0.000010;32
C;QuickSort;100;0.000008;33
C;QuickSort;100;0.000016;34
C;QuickSort;100;0.000019;35
C;QuickSort;100;0.000012;36
C;QuickSort;100;0.000007;37
C;QuickSort;100;0.000008;38
C;QuickSort;100;0.000015;39
C;QuickSort;100;0.000010;40
C;QuickSort;100;0.000009;41
C;QuickSort;100;0.000008;42
C;QuickSort;100;0.000009;43
C;QuickSort;100;0.000008;44
C;QuickSort;100;0.000011;45
C;QuickSort;100;0.000011;46
C;QuickSort;100;0.000010;47
C;QuickSort;100;0.000008;48
C;QuickSort;100;0.000011;49
C;QuickSort;100;0.000013;50
C;QuickSort;100;0.000008;51
C;QuickSort;100;0.000007;52
C;QuickSort;100;0.000008;53
C;QuickSort;100;0.000008;54
C;QuickSort;100;0.000012;55
C;QuickSort;100;0.000009;56
C;QuickSort;100;0.000010;57
C;QuickSort;100;0.000008;58
C;QuickSort;100;0.000008;59
C;QuickSort;100;0.000012;60
C;QuickSort;100;0.000013;61
C;QuickSort;100;0.000010;62
C;QuickSort;100;0.000011;63
C;QuickSort;100;0.000010;64
C;QuickSort;100;0.000008;65
C;QuickSort;100;0.000007;66
C;QuickSort;100;0.000007;67
C;QuickSort;100;0.000010;68
C;QuickSort;100;0.000010;69
C;QuickSort;100;0.000014;70
C;QuickSort;100;0.000009;71
C;QuickSort;100;0.000011;72
C;QuickSort;100;0.000019;73
C;QuickSort;100;0.000008;74
C;QuickSort;100;0.000018;75
C;QuickSort;100;0.000008;76
C;QuickSort;100;0.000010;77
C;QuickSort;100;0.000013;78
C;QuickSort;100;0.000017;79
C;QuickSort;100;0.000009;80
C;QuickSort;100;0.000013;81
C;QuickSort;100;0.000007;82
C;QuickSort;100;0.000009;83
C;QuickSort;100;0.000010;84
C;QuickSort;100;0.000013;85
C;QuickSort;100;0.000009;86
C;QuickSort;100;0.000007;87
C;QuickSort;100;0.000014;88
C;QuickSort;100;0.000009;89
C;QuickSort;100;0.000009;90
C;QuickSort;100;0.000013;91
C;QuickSort;100;0.000017;92
C;QuickSort;100;0.000012;93
C;QuickSort;100;0.000008;94
C;QuickSort;100;0.000010;95
C;QuickSort;100;0.000008;96
C;QuickSort;100;0.000009;97
C;QuickSort;100;0.000008;98
C;QuickSort;100;0.000011;99
C;QuickSort;100;0.000008;100
C;QuickSort;1000;0.000090;1
C;QuickSort;1000;0.000082;2
C;QuickSort;1000;0.000123;3
C;QuickSort;1000;0.000094;4
C;QuickSort;1000;0.000114;5
C;QuickSort;1000;0.000142;6
C;QuickSort;1000;0.000114;7
C;QuickSort;1000;0.000088;8
C;QuickSort;1000;0.000116;9
C;QuickSort;1000;0.000142;10
C;QuickSort;1000;0.000079;11
C;QuickSort;1000;0.000110;12
C;QuickSort;1000;0.000104;13
C;QuickSort;1000;0.000101;14
C;QuickSort;1000;0.000101;15
C;QuickSort;1000;0.000091;16
C;QuickSort;1000;0.000087;17
C;QuickSort;1000;0.000113;18
C;QuickSort;1000;0.000085;19
C;QuickSort;1000;0.000087;20
C;QuickSort;1000;0.000185;21
C;QuickSort;1000;0.000138;22
C;QuickSort;1000;0.000091;23
C;QuickSort;1000;0.000139;24
C;QuickSort;1000;0.000188;25
C;QuickSort;1000;0.000113;26
C;QuickSort;1000;0.000151;27
C;QuickSort;1000;0.000154;28
C;QuickSort;1000;0.000131;29
C;QuickSort;1000;0.000196;30
C;QuickSort;1000;0.000156;31
C;QuickSort;1000;0.000147;32
C;QuickSort;1000;0.000207;33
C;QuickSort;1000;0.000080;34
C;QuickSort;1000;0.000088;35
C;QuickSort;1000;0.000083;36
C;QuickSort;1000;0.000149;37
C;QuickSort;1000;0.000161;38
C;QuickSort;1000;0.000102;39
C;QuickSort;1000;0.000110;40
C;QuickSort;1000;0.000153;41
C;QuickSort;1000;0.000109;42
C;QuickSort;1000;0.000111;43
C;QuickSort;1000;0.000120;44
C;QuickSort;1000;0.000088;45
C;QuickSort;1000;0.000152;46
C;QuickSort;1000;0.000148;47
C;QuickSort;1000;0.000179;48
C;QuickSort;1000;0.000167;49
C;QuickSort;1000;0.000147;50
C;QuickSort;1000;0.000084;51
C;QuickSort;1000;0.000177;52
C;QuickSort;1000;0.000127;53
C;QuickSort;1000;0.000107;54
C;QuickSort;1000;0.000087;55
C;QuickSort;1000;0.000142;56
C;QuickSort;1000;0.000127;57
C;QuickSort;1000;0.000089;58
C;QuickSort;1000;0.000129;59
C;QuickSort;1000;0.000085;60
C;QuickSort;1000;0.000101;61
C;QuickSort;1000;0.000095;62
C;QuickSort;1000;0.000151;63
C;QuickSort;1000;0.000156;64
C;QuickSort;1000;0.000125;65
C;QuickSort;1000;0.000090;66
C;QuickSort;1000;0.000109;67
C;QuickSort;1000;0.000099;68
C;QuickSort;1000;0.000140;69
C;QuickSort;1000;0.000089;70
C;QuickSort;1000;0.000145;71
C;QuickSort;1000;0.000093;72
C;QuickSort;1000;0.000116;73
C;QuickSort;1000;0.000089;74
C;QuickSort;1000;0.000087;75
C;QuickSort;1000;0.000119;76
C;QuickSort;1000;0.000118;77
C;QuickSort;1000;0.000107;78
C;QuickSort;1000;0.000139;79
C;QuickSort;1000;0.000110;80
C;QuickSort;1000;0.000154;81
C;QuickSort;1000;0.000121;82
C;QuickSort;1000;0.000082;83
C;QuickSort;1000;0.000154;84
C;QuickSort;1000;0.000110;85
C;QuickSort;1000;0.000177;86
C;QuickSort;1000;0.000087;87
C;QuickSort;1000;0.000227;88
C;QuickSort;1000;0.000114;89
C;QuickSort;1000;0.000182;90
C;QuickSort;1000;0.000086;91
C;QuickSort;1000;0.000143;92
C;QuickSort;1000;0.000182;93
C;QuickSort;1000;0.000087;94
C;QuickSort;1000;0.000151;95
C;QuickSort;1000;0.000130;96
C;QuickSort;1000;0.000089;97
C;QuickSort;1000;0.000132;98
C;QuickSort;1000;0.000081;99
C;QuickSort;1000;0.000145;100
C;QuickSort;10000;0.001138;1
C;QuickSort;10000;0.000975;2
C;QuickSort;10000;0.000890;3
C;QuickSort;10000;0.001310;4
