Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
Python;HeapSort;100;0.000192300;1
Python;HeapSort;100;0.000176700;2
Python;HeapSort;100;0.000170700;3
Python;HeapSort;100;0.000202300;4
Python;HeapSort;100;0.000192800;5
Python;HeapSort;100;0.000177500;6
Python;HeapSort;100;0.000180900;7
Python;HeapSort;100;0.000172800;8
Python;HeapSort;100;0.000184900;9
Python;HeapSort;100;0.000186200;10
Python;HeapSort;100;0.000185900;11
Python;HeapSort;100;0.000190900;12
Python;HeapSort;100;0.000186500;13
Python;HeapSort;100;0.000177300;14
Python;HeapSort;100;0.000183900;15
Python;HeapSort;100;0.000182900;16
Python;HeapSort;100;0.000195500;17
Python;HeapSort;100;0.000191100;18
Python;HeapSort;100;0.000172400;19
Python;HeapSort;100;0.000190400;20
Python;HeapSort;100;0.000193600;21
Python;HeapSort;100;0.000183200;22
Python;HeapSort;100;0.000187900;23
Python;HeapSort;100;0.000188000;24
Python;HeapSort;100;0.000170700;25
Python;HeapSort;100;0.000179100;26
Python;HeapSort;100;0.000196200;27
Python;HeapSort;100;0.000180100;28
Python;HeapSort;100;0.000179800;29
Python;HeapSort;100;0.000179900;30
Python;HeapSort;100;0.000174000;31
Python;HeapSort;100;0.000192200;32
Python;HeapSort;100;0.000174400;33
Python;HeapSort;100;0.000187800;34
Python;HeapSort;100;0.000187000;35
Python;HeapSort;100;0.000179900;36
Python;HeapSort;100;0.000190800;37
Python;HeapSort;100;0.000193000;38
Python;HeapSort;100;0.000180600;39
Python;HeapSort;100;0.000191800;40
Python;HeapSort;100;0.000194600;41
Python;HeapSort;100;0.000184600;42
Python;HeapSort;100;0.000184000;43
Python;HeapSort;100;0.000193400;44
Python;HeapSort;100;0.000179400;45
Python;HeapSort;100;0.000194400;46
Python;HeapSort;100;0.000181200;47
Python;HeapSort;100;0.000180200;48
Python;HeapSort;100;0.000171100;49
Python;HeapSort;100;0.000190600;50
Python;HeapSort;100;0.000186200;51
Python;HeapSort;100;0.000174700;52
Python;HeapSort;100;0.000179400;53
Python;HeapSort;100;0.000180300;54
Python;HeapSort;100;0.000179900;55
Python;HeapSort;100;0.000177400;56
Python;HeapSort;100;0.000188800;57
Python;HeapSort;100;0.000177900;58
Python;HeapSort;100;0.000178700;59
Python;HeapSort;100;0.000182800;60
Python;HeapSort;100;0.000205000;61
Python;HeapSort;100;0.000172800;62
Python;HeapSort;100;0.000181900;63
Python;HeapSort;100;0.000195200;64
Python;HeapSort;100;0.000180100;65
Python;HeapSort;100;0.000196200;66
Python;HeapSort;100;0.000244200;67
Python;HeapSort;100;0.000195200;68
Python;HeapSort;100;0.000197600;69
Python;HeapSort;100;0.000192900;70
Python;HeapSort;100;0.000190600;71
Python;HeapSort;100;0.000174400;72
Python;HeapSort;100;0.000239500;73
Python;HeapSort;100;0.000193300;74
Python;HeapSort;100;0.000174400;75
Python;HeapSort;100;0.000210900;76
Python;HeapSort;100;0.000195800;77
Python;HeapSort;100;0.000204900;78
Python;HeapSort;100;0.000230000;79
Python;HeapSort;100;0.000195900;80
Python;HeapSort;100;0.000186200;81
Python;HeapSort;100;0.000178300;82
Python;HeapSort;100;0.000174700;83
Python;HeapSort;100;0.000186800;84
Python;HeapSort;100;0.000177800;85
Python;HeapSort;100;0.000189000;86
Python;HeapSort;100;0.000177100;87
Python;HeapSort;100;0.000177900;88
Python;HeapSort;100;0.000192700;89
Python;HeapSort;100;0.000197100;90
Python;HeapSort;100;0.000196600;91
Python;HeapSort;100;0.000187000;92
Python;HeapSort;100;0.000197000;93
Python;HeapSort;100;0.000192300;94
Python;HeapSort;100;0.000175100;95
Python;HeapSort;100;0.000166000;96
Python;HeapSort;100;0.000181600;97
Python;HeapSort;100;0.000174800;98
Python;HeapSort;100;0.000178700;99
Python;HeapSort;100;0.000179200;100
Python;HeapSort;1000;0.002688400;1
Python;HeapSort;1000;0.002686800;2
Python;HeapSort;1000;0.002669800;3
Python;HeapSort;1000;0.002696000;4
Python;HeapSort;1000;0.002682900;5
Python;HeapSort;1000;0.002677800;6
Python;HeapSort;1000;0.002672700;7
Python;HeapSort;1000;0.002682400;8
Python;HeapSort;1000;0.002680800;9
Python;HeapSort;1000;0.002683200;10
Python;HeapSort;1000;0.002697300;11
Python;HeapSort;1000;0.002686700;12
Python;HeapSort;1000;0.002748600;13
Python;HeapSort;1000;0.002681500;14
Python;HeapSort;1000;0.002689500;15
Python;HeapSort;1000;0.002692700;16
Python;HeapSort;1000;0.002700400;17
Python;HeapSort;1000;0.002694800;18
Python;HeapSort;1000;0.002690600;19
Python;HeapSort;1000;0.002693100;20
Python;HeapSort;1000;0.002677000;21
Python;HeapSort;1000;0.002691300;22
Python;HeapSort;1000;0.002759900;23
Python;HeapSort;1000;0.002691300;24
Python;HeapSort;1000;0.002680200;25
Python;HeapSort;1000;0.002693600;26
Python;HeapSort;1000;0.002677000;27
Python;HeapSort;1000;0.002677100;28
Python;HeapSort;1000;0.002688600;29
Python;HeapSort;1000;0.002684800;30
Python;HeapSort;1000;0.002690900;31
Python;HeapSort;1000;0.002676700;32
Python;HeapSort;1000;0.002668600;33
Python;HeapSort;1000;0.002696500;34
Python;HeapSort;1000;0.002704700;35
Python;HeapSort;1000;0.002681400;36
Python;HeapSort;1000;0.002690400;37
Python;HeapSort;1000;0.002669100;38
Python;HeapSort;1000;0.002695700;39
Python;HeapSort;1000;0.002681700;40
Python;HeapSort;1000;0.002684900;41
Python;HeapSort;1000;0.002671200;42
Python;HeapSort;1000;0.002679800;43
Python;HeapSort;1000;0.002664700;44
Python;HeapSort;1000;0.002711600;45
Python;HeapSort;1000;0.002697800;46
Python;HeapSort;1000;0.002702100;47
Python;HeapSort;1000;0.002670600;48
Python;HeapSort;1000;0.002686500;49
Python;HeapSort;1000;0.002687600;50
Python;HeapSort;1000;0.002699200;51
Python;HeapSort;1000;0.002675700;52
Python;HeapSort;1000;0.002711500;53
Python;HeapSort;1000;0.002690400;54
Python;HeapSort;1000;0.002680000;55
Python;HeapSort;1000;0.002680800;56
Python;HeapSort;1000;0.002660500;57
Python;HeapSort;1000;0.002687500;58
Python;HeapSort;1000;0.002743400;59
Python;HeapSort;1000;0.002662800;60
Python;HeapSort;1000;0.002695700;61
Python;HeapSort;1000;0.002678400;62
Python;HeapSort;1000;0.002673600;63
Python;HeapSort;1000;0.002663200;64
Python;HeapSort;1000;0.002688400;65
Python;HeapSort;1000;0.002693600;66
Python;HeapSort;1000;0.002682900;67
Python;HeapSort;1000;0.002712200;68
Python;HeapSort;1000;0.002693400;69
Python;HeapSort;1000;0.002681100;70
Python;HeapSort;1000;0.002730500;71
Python;HeapSort;1000;0.002687900;72
Python;HeapSort;1000;0.002679900;73
Python;HeapSort;1000;0.002684700;74
Python;HeapSort;1000;0.002711300;75
Python;HeapSort;1000;0.002751700;76
Python;HeapSort;1000;0.002694300;77
Python;HeapSort;1000;0.002672300;78
Python;HeapSort;1000;0.002735700;79
Python;HeapSort;1000;0.002688000;80
Python;HeapSort;1000;0.002670200;81
Python;HeapSort;1000;0.002693300;82
